Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
Atole,86.0,1.69,16.28,1.54,0.2,Smoothies and grain drinks,beverages,7.86,75.72,16.12,2.2,0.02,13.87,18.0,0.82,5.0
Atole De Avena,83.0,1.74,15.46,1.58,0.2,Smoothies and grain drinks,beverages,8.39,74.51,17.13,2.34,0.02,13.98,18.0,0.84,5.0
Atole De Chocolate,103.0,1.8,20.3,1.78,0.6,Smoothies and grain drinks,beverages,6.99,78.83,15.55,2.33,0.02,17.24,30.0,1.01,6.0
"Baby Toddler Juice,",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Apple",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Fruit And Vegetable",47.0,0.3,11.4,0.1,0.5,Baby juice,beverages,2.55,97.02,1.91,1.7,0.01,9.6,5.0,0.03,0.0
"Baby Toddler Juice, Grape",62.0,0.0,15.38,0.0,0.0,Baby juice,beverages,0.0,99.23,0.0,0.0,0.0,15.3,10.0,0.0,0.0
"Baby Toddler Juice, Mixed Fruit",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Pear",43.0,0.0,11.86,0.0,0.1,Baby juice,beverages,0.0,100.0,0.0,0.23,0.0,7.28,8.0,0.0,0.0
Beet Juice,25.0,0.72,5.91,0.06,1.1,Vegetable juice,beverages,11.52,94.56,2.16,7.28,0.03,4.84,19.0,0.01,0.0
"Carrot Juice, 100%",40.0,0.95,9.28,0.15,0.8,Vegetable juice,beverages,9.5,92.8,3.37,4.38,0.02,3.91,66.0,0.03,0.0
Celery Juice,17.0,0.49,3.32,0.16,1.6,Vegetable juice,beverages,11.53,78.12,8.47,10.0,0.03,1.34,97.0,0.04,0.0
Chicory Beverage,7.0,0.22,1.42,0.0,0.0,Coffee,beverages,12.57,81.14,0.0,3.14,0.03,0.0,4.0,0.0,0.0
"Coffee And Chicory, Brewed",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
Coffee Substitute,6.0,0.1,1.3,0.04,0.4,Coffee,beverages,6.67,86.67,6.0,8.33,0.02,0.08,5.0,0.01,0.0
"Coffee, As To Brewed Or Instant",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, As To Type",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Bottled/Canned",71.0,1.98,12.6,1.38,0.0,Coffee,beverages,11.15,70.99,17.49,2.79,0.03,10.67,26.0,0.0,5.0
"Coffee, Bottled/Canned, Light",35.0,1.27,5.91,0.7,0.0,Coffee,beverages,14.51,67.54,18.0,3.63,0.04,5.91,15.0,0.4,3.0
"Coffee, Brewed",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Brewed, Flavored",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Cafe Con Leche",40.0,1.67,5.63,1.13,0.0,Coffee,beverages,16.7,56.3,25.42,4.18,0.04,4.83,26.0,0.65,4.0
"Coffee, Cafe Con Leche, Decaffeinated",40.0,1.69,5.7,1.15,0.0,Coffee,beverages,16.9,57.0,25.87,4.22,0.04,4.91,26.0,0.66,4.0
"Coffee, Cafe Mocha",64.0,2.56,10.22,1.47,0.0,Coffee,beverages,16.0,63.88,20.67,4.0,0.04,9.3,46.0,0.86,6.0
"Coffee, Cafe Mocha, Decaffeinated",64.0,2.56,10.23,1.47,0.0,Coffee,beverages,16.0,63.94,20.67,4.0,0.04,9.3,46.0,0.86,6.0
