Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Chicken, Meatless, Breaded, Fried",balanced_foods,234.0,21.28,8.51,12.77,4.3,0.0,400.0,6,7,9,1,5,4,"post_workout, lunch, dinner",100g,14.8,10.0,0.09,Soy and meat-alternative products,other,36.38,14.55,49.12,1.13,0.0,22
"Turkey Or Chicken Burger, On Wheat Bun",balanced_foods,227.0,20.7,18.74,7.72,2.2,2.15,334.0,5,8,10,0,5,2,"breakfast, post_workout, lunch, dinner",100g,14.3,10.0,0.09,Burgers,other,36.48,33.02,30.61,1.86,54.0,23
"Edamame, Cooked",balanced_foods,140.0,11.54,8.63,7.58,5.0,2.12,127.0,9,5,10,0,0,5,"lunch, dinner, snack",100g,14.100000000000001,10.0,0.08,"Beans, peas, legumes",complex_carbs,32.97,24.66,48.73,1.27,2.0,24
Steak Sandwich Or Sub On Wheat,balanced_foods,247.0,18.93,23.49,8.27,2.8,2.69,406.0,5,7,9,3,5,2,"breakfast, post_workout, lunch, dinner",100g,14.040000000000001,8.8,0.08,Meat and BBQ sandwiches,other,30.66,38.04,30.13,2.92,40.0,21
"Hot Dog, Vegetarian",balanced_foods,233.0,19.61,7.7,13.73,3.9,0.0,471.0,6,6,9,1,5,2,"post_workout, lunch, dinner",100g,13.8,10.0,0.08,Soy and meat-alternative products,other,33.67,13.22,53.03,1.65,0.0,21
"Vegetarian, Fillet",balanced_foods,290.0,23.0,9.0,18.0,6.1,0.8,490.0,4,7,8,1,5,4,"post_workout, lunch, dinner",100g,13.600000000000001,10.0,0.08,Soy and meat-alternative products,other,31.72,12.41,55.86,2.85,0.0,19
"Bean Sprouts, Cooked",balanced_foods,116.0,9.8,6.08,6.93,3.3,2.83,126.0,7,5,10,0,0,3,"lunch, dinner, snack",100g,12.700000000000001,10.0,0.08,Other vegetables and combinations,vegetables,33.79,20.97,53.77,1.31,2.0,22
"Stewed, Seasoned, Ground Beef And Pork With Potatoes, Mexican Style",balanced_foods,143.0,12.84,4.16,8.02,0.6,0.49,193.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.620000000000001,9.4,0.09,Meat mixed dishes,other,35.92,11.64,50.48,2.96,43.0,20
"Pork, Chop, Stuffed",balanced_foods,190.0,18.37,7.82,9.04,1.0,0.0,414.0,5,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.6,10.0,0.1,Meat mixed dishes,other,38.67,16.46,42.82,2.67,46.0,18
Egg Sandwich On Wheat Bread,balanced_foods,226.0,11.48,24.13,9.25,2.8,2.81,348.0,5,8,10,3,2,0,"breakfast, lunch, dinner",100g,12.596,6.32,0.05,Egg/breakfast sandwiches,other,20.32,42.71,36.84,2.52,185.0,23
Chicken Or Turkey Parmigiana,balanced_foods,174.0,16.25,8.3,8.34,0.8,1.68,414.0,5,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.540000000000001,9.8,0.09,Poultry mixed dishes,other,37.36,19.08,43.14,2.62,73.0,18
"Pork Shish Kabob With Vegetables, Excluding Potatoes",balanced_foods,124.0,13.87,5.06,5.17,0.8,2.37,216.0,7,5,8,0,0,5,"lunch, dinner, snack",100g,12.5,10.0,0.11,Meat mixed dishes,other,44.74,16.32,37.52,1.7,37.0,20
"Shrimp Creole, No Rice",balanced_foods,124.0,14.33,4.51,5.16,1.0,1.32,153.0,7,5,8,0,0,5,"lunch, dinner, snack",100g,12.5,10.0,0.12,Seafood mixed dishes,lean_proteins,46.23,14.55,37.45,1.09,127.0,20
"Egg, Whole, Raw",balanced_foods,143.0,12.4,0.96,9.96,0.0,0.2,129.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.401,8.67,0.09,Eggs and omelets,other,34.69,2.69,62.69,3.2,411.0,20
"Egg, Whole, Boiled Or Poached",balanced_foods,143.0,12.4,0.96,9.96,0.0,0.2,129.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.401,8.67,0.09,Eggs and omelets,other,34.69,2.69,62.69,3.2,411.0,20
"Egg, Whole, Baked, No Added Fat",balanced_foods,143.0,12.36,0.96,9.93,0.0,0.2,244.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.392,8.64,0.09,Eggs and omelets,other,34.57,2.69,62.5,3.19,410.0,20
"Egg Omelet Or Scrambled Egg, No Added Fat",balanced_foods,143.0,12.36,0.96,9.93,0.0,0.2,244.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.392,8.64,0.09,Eggs and omelets,other,34.57,2.69,62.5,3.19,410.0,20
"Egg, Whole, Fried No Added Fat",balanced_foods,143.0,12.36,0.96,9.93,0.0,0.2,244.0,7,5,8,1,0,5,"lunch, dinner, snack",100g,12.392,8.64,0.09,Eggs and omelets,other,34.57,2.69,62.5,3.19,410.0,20
Beef Egg Foo Yung,balanced_foods,147.0,13.82,4.78,8.08,0.3,3.05,321.0,6,5,8,1,0,5,"lunch, dinner, snack",100g,12.283000000000001,9.61,0.09,Stir-fry and soy-based sauce mixtures,other,37.61,13.01,49.47,2.47,201.0,19
"Burrito Bowl, Beef Or Pork, With Beans",balanced_foods,161.0,13.06,6.94,8.91,1.8,0.34,344.0,5,7,8,1,2,2,"lunch, dinner, snack",100g,12.269,9.23,0.08,Other Mexican mixed dishes,other,32.45,17.24,49.81,3.85,37.0,20
"Sloppy Joe, No Bun",balanced_foods,140.0,12.06,5.48,7.63,0.7,3.81,296.0,7,5,8,0,0,5,"lunch, dinner, snack",100g,12.233,9.11,0.09,Meat mixed dishes,other,34.46,15.66,49.05,2.91,39.0,20
"Chicken Leg, Drumstick And Thigh, Grilled Without Sauce, Skin Eaten",balanced_foods,228.0,22.65,0.0,14.52,0.0,0.0,414.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,12.179,9.93,0.1,"Chicken, whole pieces",lean_proteins,39.74,0.0,57.32,3.73,128.0,17
"Chicken Leg, Drumstick And Thigh, Sauteed, Skin Eaten",balanced_foods,228.0,22.65,0.0,14.52,0.0,0.0,414.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,12.179,9.93,0.1,"Chicken, whole pieces",lean_proteins,39.74,0.0,57.32,3.73,128.0,17
"Sloppy Joe Sandwich, On Wheat Bun",balanced_foods,180.0,11.85,18.43,6.44,2.2,4.26,343.0,5,8,10,0,2,0,"breakfast, pre_workout, lunch, dinner, snack",100g,12.143,7.81,0.07,Meat and BBQ sandwiches,other,26.33,40.96,32.2,2.2,26.0,23
Pork Egg Foo Yung,balanced_foods,149.0,13.29,4.78,8.25,0.3,3.06,325.0,6,5,8,1,0,5,"lunch, dinner, snack",100g,12.136,9.12,0.09,Stir-fry and soy-based sauce mixtures,other,35.68,12.83,49.83,2.5,199.0,19
"Burrito Bowl, Chicken, With Beans",balanced_foods,135.0,13.6,6.94,5.87,1.8,0.34,345.0,6,5,8,0,0,5,"lunch, dinner, snack",100g,12.100000000000001,10.0,0.1,Other Mexican mixed dishes,other,40.3,20.56,39.13,2.43,49.0,19
