Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Yeast,complete_proteins,325.0,40.44,41.22,7.61,26.9,0.0,51.0,6,9,7,7,9,7,"post_workout, lunch, dinner",100-150g,18.7,10.0,0.12,Not included in a food category,other,49.77,50.73,21.07,1.0,0.0,22
"Meatball, Meatless",complete_proteins,197.0,21.0,8.0,9.0,4.6,1.25,550.0,7,6,9,4,9,7,"post_workout, lunch, dinner, snack",100-150g,17.8,10.0,0.11,Soy and meat-alternative products,other,42.64,16.24,41.12,1.42,0.0,22
Yeast Extract Spread,complete_proteins,185.0,23.88,20.42,0.9,6.5,1.6,3380.0,7,5,8,5,9,7,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,17.3,10.0,0.13,Mustard and other condiments,other,51.63,44.15,4.38,0.0,0.0,20
"Nutritional Powder Mix, Protein, Soy Based,",complete_proteins,388.0,55.56,28.89,5.56,6.7,22.22,733.0,5,8,6,7,7,7,"post_workout, lunch, dinner",100-150g,16.900000000000002,10.0,0.14,Protein and nutritional powders,other,57.28,29.78,12.9,1.11,0.0,19
"Textured Vegetable Protein, Dry",complete_proteins,366.0,51.1,32.9,3.33,17.5,16.42,2.0,6,7,6,7,7,7,"post_workout, lunch, dinner",100-150g,16.900000000000002,10.0,0.14,Soy and meat-alternative products,other,55.85,35.96,8.19,0.14,0.0,19
"Seaweed, Dried",complete_proteins,298.0,31.84,52.39,4.01,5.6,3.04,575.0,5,6,8,5,9,7,"breakfast, post_workout, lunch, dinner",100-150g,16.900000000000002,10.0,0.11,Not included in a food category,other,42.74,70.32,12.11,1.36,0.0,19
"Chicken, Meatless,",complete_proteins,224.0,23.64,3.64,12.73,3.6,0.0,709.0,6,6,9,4,9,5,"post_workout, lunch, dinner",100-150g,16.8,10.0,0.11,Soy and meat-alternative products,other,42.21,6.5,51.15,1.53,0.0,21
Veal Marsala,complete_proteins,175.0,17.82,6.74,8.54,0.5,0.51,147.0,6,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.8,10.0,0.1,Meat mixed dishes,other,40.73,15.41,43.92,3.59,55.0,21
"Turkey, Light Or Dark Meat, Fried, Coated, Skin Eaten",complete_proteins,192.0,26.2,1.42,8.51,0.0,0.11,270.0,6,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.8,10.0,0.14,"Turkey, duck, other poultry",lean_proteins,54.58,2.96,39.89,2.42,100.0,21
Lau Lau,complete_proteins,140.0,15.25,0.0,8.32,0.0,0.0,231.0,7,5,8,4,7,8,"post_workout, lunch, dinner, snack",100-150g,16.7,10.0,0.11,Seafood mixed dishes,lean_proteins,43.57,0.0,53.49,2.67,57.0,20
"Nutritional Powder Mix, Protein, Light,",complete_proteins,396.0,50.0,22.0,12.0,2.0,4.0,250.0,3,9,7,8,7,5,"post_workout, lunch, dinner",100-150g,16.6,10.0,0.13,Protein and nutritional powders,other,50.51,22.22,27.27,1.09,10.0,19
"Nutritional Powder Mix, Light (Muscle Milk)",complete_proteins,396.0,50.0,22.0,12.0,2.0,4.0,250.0,3,9,7,8,7,5,"post_workout, lunch, dinner",100-150g,16.6,10.0,0.13,Protein and nutritional powders,other,50.51,22.22,27.27,1.09,10.0,19
Nutritional Powder Mix (Muscle Milk),complete_proteins,411.0,45.71,18.5,17.14,7.1,5.71,329.0,4,9,6,6,7,7,"post_workout, lunch, dinner",100-150g,16.6,10.0,0.11,Protein and nutritional powders,other,44.49,18.0,37.53,1.55,21.0,19
"Calamari, Cooked",complete_proteins,155.0,19.36,3.83,6.25,0.0,0.01,270.0,6,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.5,10.0,0.12,Shellfish,lean_proteins,49.96,9.88,36.29,1.63,293.0,21
"Turkey, Light Meat, Breaded, Baked Or Fried, Skin Eaten",complete_proteins,200.0,26.78,6.48,6.84,0.4,0.56,198.0,6,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.5,10.0,0.13,"Turkey, duck, other poultry",lean_proteins,53.56,12.96,30.78,1.88,76.0,21
Escargot,complete_proteins,158.0,19.99,2.48,6.91,0.0,0.0,287.0,6,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.5,10.0,0.13,Shellfish,lean_proteins,50.61,6.28,39.36,1.14,62.0,21
"Pheasant, Cooked",complete_proteins,238.0,32.26,0.0,12.05,0.0,0.0,205.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.14,"Turkey, duck, other poultry",lean_proteins,54.22,0.0,45.57,3.89,89.0,20
"Chicken Thigh, Baked, Broiled, Or Roasted, Skin Not Eaten, From Raw",complete_proteins,178.0,24.61,0.0,8.1,0.0,0.0,336.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.3,0.0,40.96,2.3,132.0,20
Beef With Cream Or White Sauce,complete_proteins,185.0,22.5,2.75,9.31,0.0,1.38,340.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,Meat mixed dishes,other,48.65,5.95,45.29,3.77,70.0,20
"Chicken Thigh, Fried, Coated, Skin / Coating Not Eaten, From Raw",complete_proteins,192.0,24.12,0.0,9.93,0.0,0.0,334.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,50.25,0.0,46.55,2.52,130.0,20
"Quail, Cooked",complete_proteins,226.0,25.0,0.0,14.04,0.0,0.0,214.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.11,"Turkey, duck, other poultry",lean_proteins,44.25,0.0,55.91,3.94,86.0,20
"Pork,",complete_proteins,192.0,27.14,0.0,8.67,0.0,0.0,348.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.14,Pork,other,56.54,0.0,40.64,3.03,77.0,20
Rabbit,complete_proteins,204.0,30.14,0.0,8.34,0.0,0.0,344.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.15,"Lamb, goat, game",other,59.1,0.0,36.79,2.49,85.0,20
"Chicken Leg, Drumstick And Thigh, Fried, Coated, Skin / Coating Not Eaten",complete_proteins,183.0,23.92,0.0,8.98,0.0,0.0,343.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,52.28,0.0,44.16,2.2,128.0,20
"Duck, Cooked, Skin Not Eaten",complete_proteins,200.0,23.38,0.0,11.15,0.0,0.0,227.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,"Turkey, duck, other poultry",lean_proteins,46.76,0.0,50.18,3.93,89.0,20
