Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Nutrition Bar Or Meal Replacement Bar,",energy_dense,386.0,22.36,55.22,9.94,4.7,29.31,320.0,5,9,7,9,3,4,"post_workout, lunch, dinner",100g,15.303,7.01,0.06,Nutrition bars,other,23.17,57.22,23.18,2.98,4.0,21
Nutrition Bar (South Beach Living Meal Bar),energy_dense,386.0,16.19,60.21,8.92,5.1,25.0,253.0,6,9,7,9,3,4,"post_workout, lunch, dinner",100g,15.256,5.52,0.04,Nutrition bars,other,16.78,62.39,20.8,5.36,7.0,22
Nutrition Bar (Slim Fast Original Meal Bar),energy_dense,386.0,16.19,60.21,8.92,5.1,25.0,253.0,6,9,7,9,3,4,"post_workout, lunch, dinner",100g,15.256,5.52,0.04,Nutrition bars,other,16.78,62.39,20.8,5.36,7.0,22
"Nutritional Powder Mix, High Protein (Slim Fast)",energy_dense,433.0,27.87,50.0,13.46,18.2,20.59,495.0,4,8,6,9,3,4,"post_workout, lunch, dinner",100g,15.0,10.0,0.06,Protein and nutritional powders,other,25.75,46.19,27.98,1.33,6.0,18
Cereal Or Granola Bar (Kashi Chewy),energy_dense,390.0,16.67,63.42,7.69,7.7,42.31,321.0,5,9,7,8,3,4,"post_workout, lunch, dinner",100g,14.775,6.25,0.04,Nutrition bars,other,17.1,65.05,17.75,3.23,6.0,21
Nutrition Bar (South Beach Living High Protein Bar),energy_dense,412.0,30.34,38.4,15.17,7.3,15.17,436.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,14.342000000000002,9.14,0.07,Nutrition bars,other,29.46,37.28,33.14,3.38,3.0,17
Bacon Bits,energy_dense,476.0,32.0,28.6,25.9,10.2,0.0,1770.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,14.261,8.87,0.07,Bacon,other,26.89,24.03,48.97,4.06,0.0,17
"Meat Substitute, Cereal- And Vegetable Protein-Based, Fried",energy_dense,359.0,12.8,61.25,7.23,8.9,0.5,282.0,6,9,7,8,0,4,"lunch, dinner",100g,14.212,6.04,0.04,Soy and meat-alternative products,other,14.26,68.25,18.13,1.02,0.0,22
"Papad, Grilled Or Broiled",energy_dense,371.0,25.56,59.87,3.25,18.6,0.0,1745.0,5,6,5,8,3,4,"post_workout, lunch, dinner",100g,13.9,10.0,0.07,"Beans, peas, legumes",complex_carbs,27.56,64.55,7.88,1.08,4.0,16
"Peanut Butter Sandwich, With Reduced-Fat Peanut Butter, On Wheat Bread",energy_dense,353.0,16.44,42.02,14.42,5.3,6.62,475.0,4,8,6,9,3,4,"post_workout, lunch, dinner",100g,13.847999999999999,6.16,0.05,Peanut butter and jelly sandwiches,healthy_fats,18.63,47.61,36.76,2.47,0.0,18
Soy Chips,energy_dense,385.0,26.5,53.15,7.35,3.5,1.8,842.0,5,8,6,8,3,2,"post_workout, lunch, dinner",100g,13.837000000000002,7.79,0.07,"Tortilla, corn, other chips",processed_foods,27.53,55.22,17.18,1.1,0.0,19
"Nutritional Powder Mix, Sugar Free (Carnation Instant Breakfast)",energy_dense,358.0,35.8,41.0,5.1,2.0,39.0,717.0,3,8,6,8,3,2,"post_workout, lunch, dinner",100g,13.700000000000001,10.0,0.1,Protein and nutritional powders,other,40.0,45.81,12.82,2.16,44.0,17
"Breadsticks, Hard, Whole Wheat",energy_dense,425.0,15.08,67.9,10.98,7.1,3.29,577.0,4,8,6,9,3,4,"post_workout, lunch, dinner",100g,13.565999999999999,5.22,0.04,"Crackers, excludes saltines",quick_carbs,14.19,63.91,23.25,2.11,0.0,18
"Peanut Butter, Reduced-Fat",energy_dense,520.0,25.9,35.65,34.0,5.2,9.28,540.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,13.394000000000002,5.98,0.05,Nuts and seeds,healthy_fats,19.92,27.42,58.85,5.76,0.0,17
"Popcorn, Air-Popped, No Butter Added",energy_dense,385.0,12.89,77.47,4.52,14.4,0.87,162.0,6,7,6,8,0,4,"lunch, dinner",100g,13.327,7.09,0.03,Popcorn,other,13.39,80.49,10.57,0.63,0.0,19
"Peanut Butter Sandwich, With Regular Peanut Butter, On Wheat Bread",energy_dense,380.0,15.16,37.38,20.46,5.3,7.04,435.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,13.214000000000002,5.38,0.04,Peanut butter and jelly sandwiches,healthy_fats,15.96,39.35,48.46,4.06,0.0,17
"Almonds, Flavored",energy_dense,599.0,20.07,20.12,53.27,10.4,4.65,500.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,13.126999999999999,5.09,0.03,Nuts and seeds,healthy_fats,13.4,13.44,80.04,4.31,0.0,17
"Cereal, O'S, Plain",energy_dense,374.0,12.42,67.92,6.17,10.5,4.9,506.0,5,8,6,8,0,4,"lunch, dinner",100g,13.039,6.13,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,13.28,72.64,14.85,1.05,0.0,19
"Tortilla Chips, Low-Fat, Unsalted",energy_dense,416.0,11.0,80.1,5.7,5.3,0.85,15.0,6,9,7,8,0,2,"lunch, dinner",100g,12.976,3.92,0.03,"Tortilla, corn, other chips",processed_foods,10.58,77.02,12.33,0.85,0.0,22
Peanut Butter,energy_dense,598.0,22.21,22.31,51.36,5.0,10.49,426.0,4,8,5,9,3,4,"post_workout, lunch, dinner",100g,12.965,4.55,0.04,Nuts and seeds,healthy_fats,14.86,14.92,77.3,10.32,0.0,17
"Peanut Butter Sandwich, With Reduced-Fat Peanut Butter, On White Bread",energy_dense,355.0,15.16,44.49,14.17,3.3,6.71,481.0,4,8,6,9,3,2,"post_workout, lunch, dinner",100g,12.96,5.2,0.04,Peanut butter and jelly sandwiches,healthy_fats,17.08,50.13,35.92,2.54,0.0,18
Nutrition Bar (Zone Perfect Classic Crunch),energy_dense,426.0,30.0,45.0,14.0,2.0,27.0,444.0,2,8,6,9,3,2,"post_workout, lunch, dinner",100g,12.853000000000002,7.51,0.07,Nutrition bars,other,28.17,42.25,29.58,4.5,8.0,16
"Popcorn, Microwave, Flavored, Light",energy_dense,406.0,11.84,71.18,10.0,13.3,0.8,1030.0,5,8,6,9,0,2,"lunch, dinner",100g,12.757000000000001,6.19,0.03,Popcorn,other,11.67,70.13,22.17,2.49,0.0,19
"Cereal, Multigrain",energy_dense,373.0,11.64,73.96,3.59,14.6,20.14,233.0,6,7,6,8,0,2,"lunch, dinner",100g,12.709,7.03,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,12.48,79.31,8.66,0.46,0.0,19
"Cereal, Shredded Wheat, Plain",energy_dense,358.0,11.88,73.85,1.68,13.0,0.27,2.0,6,7,6,8,0,2,"lunch, dinner",100g,12.685,6.95,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,13.27,82.51,4.22,0.15,0.0,19
"Peanut Butter, Vitamin And Mineral Fortified",energy_dense,591.0,25.72,18.75,50.81,5.6,10.47,420.0,4,8,5,7,3,4,"post_workout, lunch, dinner",100g,12.59,5.3,0.04,Nuts and seeds,healthy_fats,17.41,12.69,77.38,10.12,0.0,17
"Cereal, Oat Squares",energy_dense,379.0,10.4,73.27,5.22,8.0,20.52,388.0,5,9,6,8,0,2,"lunch, dinner",100g,12.455,4.85,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,10.98,77.33,12.4,0.88,0.0,20
Nutrition Bar (Powerbar),energy_dense,363.0,14.15,69.63,3.11,5.7,30.07,308.0,5,7,6,8,0,4,"lunch, dinner",100g,12.440999999999999,5.47,0.04,Nutrition bars,other,15.59,76.73,7.71,1.32,0.0,18
"Popcorn, Microwave, Plain, Light",energy_dense,409.0,11.92,71.68,10.07,13.4,0.8,766.0,4,8,6,9,0,2,"lunch, dinner",100g,12.357,6.19,0.03,Popcorn,other,11.66,70.1,22.16,2.51,0.0,18
Bean Chips,energy_dense,448.0,14.6,53.12,21.58,9.7,1.08,410.0,4,8,5,9,0,4,"lunch, dinner",100g,12.326,5.42,0.03,"Tortilla, corn, other chips",processed_foods,13.04,47.43,43.35,2.96,0.0,17
"Crackers, Woven Wheat, Reduced-Fat",energy_dense,416.0,11.34,75.52,7.59,10.9,1.22,745.0,5,8,6,8,0,2,"lunch, dinner",100g,12.205,5.35,0.03,"Crackers, excludes saltines",quick_carbs,10.9,72.62,16.42,1.07,0.0,19
"Cereal, K'S, Plain",energy_dense,356.0,19.04,68.01,1.58,3.2,13.01,680.0,5,6,5,8,3,2,"post_workout, lunch, dinner",100g,12.175,6.25,0.05,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,21.39,76.42,3.99,0.25,0.0,16
"Cereal, O'S,",energy_dense,379.0,10.52,71.96,5.77,9.1,18.63,543.0,5,8,6,8,0,2,"lunch, dinner",100g,12.154,5.18,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,11.1,75.95,13.7,0.92,0.0,19
"Popcorn, Ready-To-Eat, Plain, Light",energy_dense,437.0,11.33,68.08,14.92,12.7,0.76,600.0,4,8,6,9,0,2,"lunch, dinner",100g,12.149999999999999,5.5,0.03,Popcorn,other,10.37,62.32,30.73,2.02,0.0,18
"Popcorn, Ready-To-Eat, Flavored, Light",energy_dense,435.0,11.28,67.78,14.85,12.6,0.76,766.0,4,8,6,9,0,2,"lunch, dinner",100g,12.146999999999998,5.49,0.03,Popcorn,other,10.37,62.33,30.72,2.02,0.0,18
"Breadsticks, Hard,",energy_dense,412.0,12.0,68.4,9.5,3.0,1.26,713.0,5,8,6,9,0,2,"lunch, dinner",100g,11.992,3.64,0.03,"Crackers, excludes saltines",quick_carbs,11.65,66.41,20.75,1.41,0.0,19
"Trail Mix With Pretzels, Cereal, Or Granola",energy_dense,476.0,13.09,50.59,27.66,6.0,19.32,414.0,4,8,5,9,0,4,"lunch, dinner",100g,11.903,4.01,0.03,Nuts and seeds,healthy_fats,11.0,42.51,52.3,3.8,0.0,17
