Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pizza, Cheese, With Fruit, Medium Crust",fruits,239.0,9.96,30.81,8.45,2.1,4.61,469.0,3,7,9,3,2,3,"breakfast, pre_workout, lunch, dinner",1 medium or 100g,11.515,5.05,0.04,Pizza,energy_dense,16.67,51.56,31.82,3.88,15.0,19
"Pizza, Cheese, With Fruit, Thin Crust",fruits,230.0,9.51,30.01,8.06,2.1,4.93,447.0,3,7,9,3,2,3,"breakfast, pre_workout, lunch, dinner",1 medium or 100g,11.515,5.05,0.04,Pizza,energy_dense,16.54,52.19,31.54,3.7,14.0,19
"Pizza, Cheese, With Fruit, Thick Crust",fruits,246.0,9.57,30.89,9.3,2.0,4.31,475.0,3,7,9,3,2,3,"breakfast, pre_workout, lunch, dinner",1 medium or 100g,11.41,4.7,0.04,Pizza,energy_dense,15.56,50.23,34.02,3.72,15.0,19
"Pancakes, Fruit",fruits,232.0,5.86,30.63,9.54,2.4,7.7,395.0,3,6,9,3,2,3,"breakfast, pre_workout",1 medium or 100g,10.668000000000001,3.56,0.03,"Pancakes, waffles, French toast",quick_carbs,10.1,52.81,37.01,2.35,52.0,18
Stuffed Grape Leaves With Beef And Rice,fruits,228.0,8.15,11.3,17.03,3.1,2.48,420.0,4,6,8,1,2,3,"breakfast, pre_workout, lunch, dinner",1 medium or 100g,10.479,4.93,0.04,Meat mixed dishes,other,14.3,19.82,67.22,3.66,22.0,18
"Crisp, Apple",fruits,215.0,2.81,30.18,9.59,2.7,15.82,119.0,4,6,8,3,2,3,"breakfast, pre_workout",1 medium or 100g,10.368,2.56,0.01,Cakes and pies,energy_dense,5.23,56.15,40.14,4.77,23.0,18
"Fruit, Chocolate Covered",fruits,133.0,1.41,20.12,6.69,2.7,15.65,2.0,5,4,8,2,0,6,"breakfast, pre_workout, snack",1 medium or 100g,10.127,3.09,0.01,Other fruits and fruit salads,vegetables,4.24,60.51,45.27,3.86,0.0,17
"Waffle, Fruit, Frozen",fruits,296.0,7.07,46.58,9.05,2.6,4.61,437.0,1,6,9,3,2,3,"breakfast, pre_workout",1 medium or 100g,9.781,3.27,0.02,"Pancakes, waffles, French toast",quick_carbs,9.55,62.95,27.52,2.16,12.0,16
"Fruit Salad, Including Citrus Fruits, With Nondairy Whipped Topping",fruits,148.0,2.03,16.57,8.45,2.1,12.48,3.0,5,4,8,1,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.737,2.79,0.01,Other fruits and fruit salads,vegetables,5.49,44.78,51.39,2.25,0.0,17
"Yogurt, Greek, Nonfat Milk, Fruit",fruits,83.0,9.21,10.81,0.34,0.1,8.24,36.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.11,"Yogurt, Greek",dairy_proteins,44.39,52.1,3.69,0.1,4.0,12
"Yogurt, Greek, Nonfat Milk, Flavors Other Than Fruit",fruits,73.0,9.17,8.22,0.34,0.0,7.9,32.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.13,"Yogurt, Greek",dairy_proteins,50.25,45.04,4.19,0.1,4.0,12
"Yogurt, Greek, As To Type Of Milk, Fruit",fruits,91.0,9.11,10.78,1.33,0.1,8.21,35.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.1,"Yogurt, Greek",dairy_proteins,40.04,47.38,13.15,0.72,7.0,12
"Yogurt, Greek, As To Type Of Milk, Flavors Other Than Fruit",fruits,81.0,9.07,8.18,1.34,0.0,7.87,32.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.11,"Yogurt, Greek",dairy_proteins,44.79,40.4,14.89,0.71,7.0,12
"Yogurt, Greek, Low-Fat Milk, Flavors Other Than Fruit",fruits,81.0,9.07,8.18,1.34,0.0,7.87,32.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.11,"Yogurt, Greek",dairy_proteins,44.79,40.4,14.89,0.71,7.0,12
"Cheese, Cottage, With Fruit",fruits,74.0,9.41,4.94,1.96,0.2,4.61,273.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.13,Cottage/ricotta cheese,dairy_proteins,50.86,26.7,23.84,1.07,10.0,12
"Yogurt, Greek, Low-Fat Milk, Fruit",fruits,91.0,9.11,10.78,1.33,0.1,8.21,35.0,5,3,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.600000000000001,10.0,0.1,"Yogurt, Greek",dairy_proteins,40.04,47.38,13.15,0.72,7.0,12
"Pancakes, Fruit, Fast Food / Restaurant",fruits,253.0,5.71,29.82,12.28,2.3,7.49,426.0,0,6,9,3,2,3,"breakfast, pre_workout",1 medium or 100g,9.350999999999999,3.17,0.02,"Pancakes, waffles, French toast",quick_carbs,9.03,47.15,43.68,2.69,50.0,15
"Bread, Pita With Fruit",fruits,279.0,8.16,59.51,1.05,2.6,11.61,454.0,1,6,8,2,2,3,"breakfast, pre_workout, lunch, dinner",1 medium or 100g,9.258,3.86,0.03,Yeast breads,quick_carbs,11.7,85.32,3.39,0.15,0.0,15
"Yogurt, Greek, Whole Milk, Flavors Other Than Fruit",fruits,104.0,7.81,9.21,3.92,0.0,7.88,31.0,5,1,7,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.253,7.51,0.08,"Yogurt, Greek",dairy_proteins,30.04,35.42,33.92,2.13,15.0,13
"Yogurt, Greek, Whole Milk, Fruit",fruits,114.0,7.85,11.8,3.91,0.1,8.23,34.0,5,1,7,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,9.091000000000001,6.97,0.07,"Yogurt, Greek",dairy_proteins,27.54,41.4,30.87,2.13,15.0,13
"Muffin, Bran With Fruit, Lowfat",fruits,179.0,5.42,39.99,1.5,2.7,20.26,433.0,3,3,8,2,2,3,"breakfast, pre_workout, snack",1 medium or 100g,9.062000000000001,4.54,0.03,"Biscuits, muffins, quick breads",quick_carbs,12.11,89.36,7.54,0.41,14.0,14
"Coleslaw, With Fruit",fruits,113.0,0.91,13.65,6.34,2.1,10.15,222.0,5,3,8,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.998000000000001,2.66,0.01,"Coleslaw, non-lettuce salads",vegetables,3.22,48.32,50.5,0.98,7.0,16
"Fruit Smoothie, With Whole Fruit And Dairy, Added Protein",fruits,79.0,7.35,10.04,1.24,1.1,7.36,40.0,5,1,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.8,10.0,0.09,Smoothies and grain drinks,beverages,37.22,50.84,14.13,0.67,5.0,10
"Fruit Smoothie, With Whole Fruit, No Dairy, Added Protein",fruits,76.0,6.23,12.2,0.44,1.6,8.14,13.0,5,1,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.8,10.0,0.08,Smoothies and grain drinks,beverages,32.79,64.21,5.21,0.09,1.0,10
"Fruit And Vegetable Smoothie, Non-Dairy, Added Protein",fruits,83.0,7.09,11.92,0.69,1.2,7.95,38.0,5,1,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.797,9.99,0.09,Smoothies and grain drinks,beverages,34.17,57.45,7.48,0.14,1.0,10
"Fruit And Vegetable Smoothie, Added Protein",fruits,86.0,7.49,12.24,0.78,1.1,8.47,36.0,5,1,4,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.797,9.99,0.09,Smoothies and grain drinks,beverages,34.84,56.93,8.16,0.34,3.0,10
"Waffle, Fruit",fruits,307.0,6.94,36.25,14.92,2.8,9.11,467.0,0,6,6,5,2,3,"breakfast, pre_workout",1 medium or 100g,8.751000000000001,3.17,0.02,"Pancakes, waffles, French toast",quick_carbs,9.04,47.23,43.74,3.26,61.0,12
"Apple, Baked",fruits,113.0,0.32,22.7,3.08,2.5,19.01,4.0,5,2,7,2,0,6,"breakfast, pre_workout, snack",1 medium or 100g,8.75,2.5,0.0,Apples,fruits,1.13,80.35,24.53,1.64,8.0,14
Blueberry Pie Filling,fruits,181.0,0.41,44.38,0.2,2.6,37.75,12.0,4,4,7,2,2,3,"breakfast, pre_workout, snack",1 medium or 100g,8.598,1.66,0.0,"Jams, syrups, toppings",other,0.91,98.08,0.99,0.0,0.0,15
