Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Natto,healthy_fats,211.0,19.4,12.68,11.0,5.4,4.89,7.0,7,7,10,5,8,4,"post_workout, lunch, dinner",30-50g,17.700000000000003,10.0,0.09,Soy-based condiments,other,36.78,24.04,46.92,1.59,0.0,24
"Soybeans, Cooked",healthy_fats,218.0,16.92,7.77,14.84,5.6,2.79,217.0,7,7,10,5,8,4,"post_workout, lunch, dinner",30-50g,17.700000000000003,10.0,0.08,"Beans, peas, legumes",complex_carbs,31.05,14.26,61.27,2.08,0.0,24
Wheat Germ,healthy_fats,382.0,29.1,49.6,10.7,15.1,7.8,4.0,5,9,7,9,6,4,"post_workout, lunch, dinner",30-50g,17.1,10.0,0.08,Not included in a food category,other,30.47,51.94,25.21,1.83,0.0,21
Nutrition Bar (Snickers Marathon Protein Bar),healthy_fats,415.0,25.0,50.5,12.5,12.5,28.75,238.0,5,9,7,9,6,4,"post_workout, lunch, dinner",30-50g,16.812,9.04,0.06,Nutrition bars,other,24.1,48.67,27.11,6.25,6.0,21
Chia Seeds,healthy_fats,486.0,16.54,42.12,30.74,34.4,1.55,16.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,16.7,10.0,0.03,Nuts and seeds,healthy_fats,13.61,34.67,56.93,3.33,0.0,20
Soy Nuts,healthy_fats,469.0,38.55,30.22,25.4,17.7,4.2,163.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,16.7,10.0,0.08,"Beans, peas, legumes",complex_carbs,32.88,25.77,48.74,3.67,0.0,20
Flax Seeds,healthy_fats,545.0,18.04,34.36,37.28,23.1,1.55,37.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.965,7.55,0.03,Nuts and seeds,healthy_fats,13.24,25.22,61.56,3.28,0.0,20
"Soybean Curd, Deep Fried",healthy_fats,270.0,18.82,8.86,20.18,3.9,2.72,16.0,5,8,9,5,8,2,"post_workout, lunch, dinner",30-50g,15.823,8.41,0.07,Soy and meat-alternative products,other,27.88,13.13,67.27,2.92,0.0,22
Cereal Or Granola Bar (Kashi Crunchy),healthy_fats,429.0,18.57,53.26,15.71,11.4,17.14,293.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.797,6.99,0.04,Nutrition bars,other,17.31,49.66,32.96,1.21,0.0,20
Nutrition Bar (Balance Original Bar),healthy_fats,415.0,28.0,48.73,12.0,3.1,34.89,253.0,5,9,7,9,6,2,"post_workout, lunch, dinner",30-50g,15.747,7.49,0.07,Nutrition bars,other,26.99,46.97,26.02,1.15,1.0,21
"Hamburger, On Wheat Bun, 1 Small Patty",healthy_fats,280.0,17.83,20.14,13.86,2.4,2.31,337.0,2,9,10,7,8,2,"breakfast, post_workout, lunch, dinner",30-50g,15.666,7.22,0.06,Burgers,other,25.47,28.77,44.55,5.2,47.0,21
"Peanuts, Dry Roasted, Lightly Salted",healthy_fats,584.0,24.23,21.15,49.41,8.4,4.88,199.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.376999999999999,5.59,0.04,Nuts and seeds,healthy_fats,16.6,14.49,76.15,7.68,0.0,20
"Peanuts, Dry Roasted, Unsalted",healthy_fats,587.0,24.35,21.26,49.66,8.4,4.9,6.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.373999999999999,5.58,0.04,Nuts and seeds,healthy_fats,16.59,14.49,76.14,7.72,0.0,20
Mixed Seeds,healthy_fats,580.0,21.96,21.73,49.61,10.0,2.37,7.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.353000000000002,5.51,0.04,Nuts and seeds,healthy_fats,15.14,14.99,76.98,6.05,0.0,20
"Pistachio Nuts,",healthy_fats,572.0,21.05,28.28,45.82,10.3,7.74,6.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.344000000000001,5.48,0.04,Nuts and seeds,healthy_fats,14.72,19.78,72.09,5.64,0.0,20
Soy Nut Butter,healthy_fats,613.0,23.02,23.0,50.01,10.6,7.47,290.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.344000000000001,5.48,0.04,Soy and meat-alternative products,other,15.02,15.01,73.42,7.38,0.0,20
"Burrito Bowl, Beef Or Pork",healthy_fats,213.0,19.97,0.27,14.21,0.0,0.09,297.0,5,7,8,5,8,2,"post_workout, lunch, dinner",30-50g,15.314,9.38,0.09,Other Mexican mixed dishes,other,37.5,0.51,60.04,6.13,69.0,20
"Almonds,",healthy_fats,598.0,20.96,21.01,52.54,10.9,4.86,3.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.299,5.33,0.04,Nuts and seeds,healthy_fats,14.02,14.05,79.07,4.09,0.0,20
"Sunflower Seeds, Plain, Unsalted",healthy_fats,582.0,19.33,24.07,49.8,11.1,2.73,3.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,15.269000000000002,5.23,0.03,Nuts and seeds,healthy_fats,13.29,16.54,77.01,5.22,0.0,20
