Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Fish, Catfish, Steamed",lean_proteins,150.0,19.24,0.0,7.5,0.0,0.0,222.0,7,7,8,0,9,9,"post_workout, lunch, dinner, snack",100-150g,17.2,10.0,0.13,Fish,lean_proteins,51.31,0.0,45.0,1.66,69.0,22
"Fish Sandwich, Fried, On Wheat Bun",lean_proteins,229.0,15.16,23.77,8.19,2.4,2.26,381.0,5,8,9,3,9,6,"breakfast, post_workout, lunch, dinner",100-150g,16.501,7.67,0.07,Seafood sandwiches,lean_proteins,26.48,41.52,32.19,2.38,34.0,22
"Fish, As To Type, Steamed",lean_proteins,171.0,23.41,0.0,8.11,0.0,0.0,191.0,6,7,8,1,9,6,"post_workout, lunch, dinner, snack",100-150g,16.2,10.0,0.14,Fish,lean_proteins,54.76,0.0,42.68,1.87,66.0,21
"Fish Sandwich, From School Cafeteria",lean_proteins,209.0,15.0,27.4,4.34,3.5,2.51,387.0,7,6,8,2,9,6,"breakfast, post_workout, lunch, dinner",100-150g,16.155,8.85,0.07,Seafood sandwiches,lean_proteins,28.71,52.44,18.69,1.01,29.0,21
"Turkey, Light Or Dark Meat, Fried, Coated, Skin Not Eaten",lean_proteins,165.0,27.22,1.42,5.06,0.0,0.11,274.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.16,"Turkey, duck, other poultry",lean_proteins,65.99,3.44,27.6,1.43,95.0,21
"Fish, Tilapia,",lean_proteins,160.0,24.95,0.01,6.65,0.0,0.01,280.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.16,Fish,lean_proteins,62.38,0.02,37.41,1.91,66.0,21
"Fish, Trout, Steamed",lean_proteins,178.0,25.19,0.0,7.81,0.0,0.0,162.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.14,Fish,lean_proteins,56.61,0.0,39.49,1.75,75.0,21
"Cheese, Swiss, Reduced-Fat",lean_proteins,179.0,28.4,3.4,5.1,0.0,1.33,199.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.16,Cheese,dairy_proteins,63.46,7.6,25.64,3.3,35.0,21
"Fish, Bass, Baked Or Broiled",lean_proteins,161.0,22.9,0.01,7.02,0.0,0.01,300.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.14,Fish,lean_proteins,56.89,0.02,39.24,1.82,55.0,21
"Fish, Tilapia, Baked Or Broiled",lean_proteins,160.0,24.95,0.01,6.65,0.0,0.01,280.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.16,Fish,lean_proteins,62.38,0.02,37.41,1.91,66.0,21
"Fish, Bass,",lean_proteins,161.0,22.9,0.01,7.02,0.0,0.01,300.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.14,Fish,lean_proteins,56.89,0.02,39.24,1.82,55.0,21
"Fish, Tuna, Cooked",lean_proteins,176.0,30.31,0.01,5.14,0.0,0.01,271.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.17,Fish,lean_proteins,68.89,0.02,26.28,1.4,52.0,21
Chicken As Ingredient In Recipes,lean_proteins,182.0,28.06,0.0,7.34,0.0,0.0,76.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.15,Not included in a food category,other,61.67,0.0,36.3,2.11,124.0,21
Turtle,lean_proteins,157.0,24.59,0.0,5.8,0.0,0.0,285.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.16,Shellfish,lean_proteins,62.65,0.0,33.25,0.85,62.0,21
"Beef, For Use With Vegetables",lean_proteins,191.0,32.41,0.0,6.82,0.0,0.0,67.0,6,7,8,0,9,6,"post_workout, lunch, dinner, snack",100-150g,15.9,10.0,0.17,Not included in a food category,other,67.87,0.0,32.14,2.8,99.0,21
