Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Veggie Burger Patty, No Bun",processed_foods,177.0,15.7,14.27,6.3,4.9,1.07,569.0,7,6,9,0,5,4,"pre_workout, post_workout, lunch, dinner, snack",100g,14.5,10.0,0.09,Soy and meat-alternative products,other,35.48,32.25,32.03,1.44,5.0,22
"Barbecue Beef Sandwich, On Wheat Bun",processed_foods,240.0,17.02,23.3,8.52,2.0,8.38,544.0,5,7,9,3,5,2,"breakfast, post_workout, lunch, dinner",100g,13.776,7.92,0.07,Meat and BBQ sandwiches,other,28.37,38.83,31.95,3.0,44.0,21
"Swiss Steak, With Gravy, Meatless",processed_foods,180.0,12.69,14.13,8.09,4.0,0.95,689.0,7,6,9,1,2,4,"pre_workout, lunch, dinner, snack",100g,13.681,9.27,0.07,"Bean, pea, legume dishes",other,28.2,31.4,40.45,1.55,4.0,22
"Barbecue Pork Sandwich, On Wheat Bun",processed_foods,238.0,15.52,23.3,8.86,2.0,8.38,549.0,5,7,9,3,5,2,"breakfast, post_workout, lunch, dinner",100g,13.608,7.36,0.07,Meat and BBQ sandwiches,other,26.08,39.16,33.5,2.89,43.0,21
Club Sandwich On Wheat,processed_foods,220.0,15.98,21.38,7.65,2.4,2.56,765.0,5,7,9,2,5,2,"breakfast, post_workout, lunch, dinner",100g,13.605,8.35,0.07,Deli and cured meat sandwiches,other,29.05,38.87,31.3,2.21,31.0,21
Multiple Meat Sandwich On Wheat,processed_foods,189.0,13.69,20.08,5.78,2.2,2.56,704.0,5,7,9,2,2,2,"breakfast, pre_workout, lunch, dinner, snack",100g,12.722999999999999,8.41,0.07,Deli and cured meat sandwiches,other,28.97,42.5,27.52,1.54,31.0,21
"Barbecue Chicken Sandwich, On Wheat Bun",processed_foods,199.0,16.47,23.3,4.42,2.0,8.38,513.0,5,5,8,2,5,2,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100g,12.684,9.28,0.08,Meat and BBQ sandwiches,other,33.11,46.83,19.99,0.99,52.0,18
"Chicken Nuggets, From School Lunch",processed_foods,270.0,15.67,22.86,12.9,2.2,0.49,511.0,2,8,9,3,5,2,"breakfast, post_workout, lunch, dinner",100g,12.586,6.62,0.06,"Chicken patties, nuggets and tenders",lean_proteins,23.21,33.87,43.0,2.83,50.0,19
"Chicken Tenders Or Strips, Breaded, From School Lunch",processed_foods,270.0,15.67,22.86,12.9,2.2,0.49,511.0,2,8,9,3,5,2,"breakfast, post_workout, lunch, dinner",100g,12.586,6.62,0.06,"Chicken patties, nuggets and tenders",lean_proteins,23.21,33.87,43.0,2.83,50.0,19
Shrimp With Crab Stuffing,processed_foods,174.0,16.39,6.16,9.01,0.3,0.33,537.0,5,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.477,9.59,0.09,Seafood mixed dishes,lean_proteins,37.68,14.16,46.6,2.19,145.0,18
"Adobo, With Noodles",processed_foods,172.0,16.89,8.14,7.66,0.4,0.03,510.0,5,6,7,0,5,2,"post_workout, lunch, dinner, snack",100g,12.299999999999999,10.0,0.1,Poultry mixed dishes,other,39.28,18.93,40.08,2.48,72.0,18
"Adobo, With Rice",processed_foods,181.0,17.69,8.86,7.94,0.2,0.03,522.0,5,6,7,0,5,2,"post_workout, lunch, dinner, snack",100g,12.264,9.88,0.1,Poultry mixed dishes,other,39.09,19.58,39.48,2.58,75.0,18
"Luncheon Slice, Meatless-Beef, Chicken, Salami Or Turkey",processed_foods,189.0,17.78,4.44,11.11,1.1,2.22,711.0,4,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.197000000000001,9.99,0.09,Soy and meat-alternative products,other,37.63,9.4,52.9,1.34,0.0,17
"Meatballs, As To Type Of Meat, With Sauce",processed_foods,186.0,18.02,0.15,12.02,0.0,0.07,801.0,4,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.107000000000001,9.69,0.1,Meat mixed dishes,other,38.75,0.32,58.16,4.56,97.0,17
"Beef, Ground, With Egg And Onion",processed_foods,228.0,21.86,1.05,14.54,0.1,0.54,732.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,12.089,9.63,0.1,Meat mixed dishes,other,38.35,1.84,57.39,5.5,104.0,17
"Chicken, As To Part, Grilled With Sauce, Skin Eaten",processed_foods,211.0,19.89,7.31,10.74,0.2,5.96,516.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,12.056000000000001,9.52,0.09,"Chicken, whole pieces",lean_proteins,37.71,13.86,45.81,2.6,91.0,17
"Chicken Drumstick, Grilled With Sauce, Skin Eaten",processed_foods,200.0,18.68,7.28,10.15,0.2,5.94,588.0,4,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,12.032000000000002,9.44,0.09,"Chicken, whole pieces",lean_proteins,37.36,14.56,45.68,2.45,103.0,17
"Hot Dog Sandwich, Reduced-Fat, On Wheat Bun",processed_foods,237.0,12.71,22.89,10.5,2.4,2.3,538.0,4,7,9,3,2,2,"breakfast, lunch, dinner",100g,12.014,6.38,0.05,Frankfurter sandwiches,other,21.45,38.63,39.87,3.95,29.0,20
Italian Sausage Sandwich On Wheat,processed_foods,293.0,15.18,21.38,16.32,2.4,3.12,621.0,2,8,8,3,5,2,"breakfast, post_workout, lunch, dinner",100g,12.0,6.0,0.05,Deli and cured meat sandwiches,other,20.72,29.19,50.13,5.4,44.0,18
"Stewed Pork, Puerto Rican Style",processed_foods,200.0,17.91,2.75,12.69,0.6,1.29,579.0,4,6,7,1,5,2,"post_workout, lunch, dinner, snack",100g,11.978000000000002,9.26,0.09,Meat mixed dishes,other,35.82,5.5,57.1,2.96,54.0,17
"Breakfast Link, Pattie, Or Slice, Meatless",processed_foods,255.0,20.28,8.09,18.16,2.8,0.0,888.0,2,7,8,1,5,2,"post_workout, lunch, dinner",100g,11.915000000000001,9.05,0.08,Soy and meat-alternative products,other,31.81,12.69,64.09,2.93,0.0,17
"Chicken Thigh, Fried, Coated, Skin / Coating Not Eaten, From Fast Food",processed_foods,218.0,19.42,6.31,12.8,0.2,0.1,613.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.9,9.0,0.09,"Chicken, whole pieces",lean_proteins,35.63,11.58,52.84,2.7,102.0,17
"Chicken Thigh, Fried, Coated, Skin / Coating Not Eaten, From Restaurant",processed_foods,218.0,19.42,6.31,12.8,0.2,0.1,613.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.9,9.0,0.09,"Chicken, whole pieces",lean_proteins,35.63,11.58,52.84,2.7,102.0,17
"Barbecue Beef, With Sauce",processed_foods,228.0,19.83,12.23,10.79,0.3,9.97,596.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.849000000000002,8.83,0.09,Meat mixed dishes,other,34.79,21.46,42.59,4.14,67.0,17
"Chicken Leg, Drumstick And Thigh, Grilled With Sauce, Skin Eaten",processed_foods,220.0,18.64,7.28,12.32,0.2,5.94,578.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.768,8.56,0.08,"Chicken, whole pieces",lean_proteins,33.89,13.24,50.4,3.1,105.0,17
Roast Beef Sandwich On Wheat,processed_foods,192.0,14.89,23.8,3.84,2.8,2.83,639.0,5,5,8,2,2,2,"breakfast, pre_workout, lunch, dinner, snack",100g,11.763000000000002,9.21,0.08,Deli and cured meat sandwiches,other,31.02,49.58,18.0,1.01,25.0,18
Corned Beef Sandwich On Wheat,processed_foods,257.0,14.67,23.72,11.22,2.8,2.69,697.0,2,8,9,3,2,2,"breakfast, lunch, dinner",100g,11.74,6.8,0.06,Deli and cured meat sandwiches,other,22.83,36.92,39.29,3.43,47.0,19
Ham Sandwich On Wheat,processed_foods,185.0,13.96,23.62,3.86,2.8,2.69,657.0,5,5,8,2,2,2,"breakfast, pre_workout, lunch, dinner, snack",100g,11.718,9.06,0.08,Deli and cured meat sandwiches,other,30.18,51.07,18.78,0.91,20.0,18
"Barbecue Meat,",processed_foods,226.0,18.14,12.23,11.17,0.3,9.97,601.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.648000000000001,8.16,0.08,Meat mixed dishes,other,32.11,21.65,44.48,4.02,65.0,17
"Chicken Thigh, Grilled With Sauce, Skin Eaten",processed_foods,233.0,18.61,7.28,13.77,0.2,5.94,571.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.621,8.07,0.08,"Chicken, whole pieces",lean_proteins,31.95,12.5,53.19,3.54,106.0,17
"Barbecue Pork, With Sauce",processed_foods,226.0,17.57,12.23,11.3,0.3,9.97,603.0,4,6,7,1,5,2,"post_workout, lunch, dinner",100g,11.573,7.91,0.08,Meat mixed dishes,other,31.1,21.65,45.0,3.98,64.0,17
Turkey Sandwich On Wheat,processed_foods,187.0,13.05,24.56,3.88,2.8,3.13,619.0,5,5,8,2,2,2,"breakfast, pre_workout, lunch, dinner, snack",100g,11.544,8.48,0.07,Deli and cured meat sandwiches,other,27.91,52.53,18.67,0.81,24.0,18
