Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Egg, White, Cooked, As To Fat",weight_loss_friendly,100.0,9.99,2.21,5.72,0.0,0.67,282.0,5,5,8,0,0,7,"lunch, dinner, snack",100g,12.296999999999999,9.99,0.1,Eggs and omelets,other,39.96,8.84,51.48,1.5,5.0,18
"Egg, White, Cooked, Fat Added",weight_loss_friendly,100.0,9.99,2.21,5.72,0.0,0.67,282.0,5,5,8,0,0,7,"lunch, dinner, snack",100g,12.296999999999999,9.99,0.1,Eggs and omelets,other,39.96,8.84,51.48,1.5,5.0,18
Chili With Chicken And Beans,weight_loss_friendly,99.0,10.2,10.25,2.08,3.0,1.48,341.0,8,3,6,0,0,7,"pre_workout, snack",100g,11.9,10.0,0.1,Poultry mixed dishes,other,41.21,41.41,18.91,0.56,31.0,17
Chili With Chicken,weight_loss_friendly,100.0,14.11,2.41,3.71,0.5,1.37,359.0,6,3,6,0,0,9,"lunch, dinner, snack",100g,11.7,10.0,0.14,Poultry mixed dishes,other,56.44,9.64,33.39,1.06,61.0,15
"Clams, Raw",weight_loss_friendly,86.0,14.67,3.57,0.96,0.0,0.0,56.0,7,3,4,0,0,9,snack,100g,11.3,10.0,0.17,Shellfish,lean_proteins,68.23,16.6,10.05,0.19,30.0,14
"Green Peas, Raw",weight_loss_friendly,81.0,5.42,14.45,0.4,5.7,5.67,5.0,7,1,6,0,0,9,"pre_workout, snack",100g,11.3,10.0,0.07,Other starchy vegetables,vegetables,26.77,71.36,4.44,0.07,0.0,14
"Green Peas, Frozen, Cooked With Butter Or Margarine",weight_loss_friendly,95.0,5.0,13.82,2.45,4.4,4.27,199.0,7,1,6,0,0,9,"pre_workout, snack",100g,11.267,9.89,0.05,Other starchy vegetables,vegetables,21.05,58.19,23.21,0.99,4.0,14
"Egg Substitute, Omelet, Scrambled, Or Fried, With Vegetables",weight_loss_friendly,89.0,8.56,2.2,5.09,0.2,1.79,286.0,5,5,5,0,0,7,snack,100g,11.052,9.84,0.1,Eggs and omelets,other,38.47,9.89,51.47,1.32,4.0,15
"Shrimp Shish Kabob With Vegetables, Excluding Potatoes",weight_loss_friendly,83.0,11.23,5.74,1.59,0.8,2.37,240.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.14,Seafood mixed dishes,lean_proteins,54.12,27.66,17.24,0.35,95.0,14
Ceviche,weight_loss_friendly,63.0,10.53,3.58,0.76,0.5,1.34,149.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.17,Seafood mixed dishes,lean_proteins,66.86,22.73,10.86,0.16,18.0,14
"Pork Chow Mein Or Chop Suey, No Noodles",weight_loss_friendly,98.0,10.34,3.85,4.3,0.8,1.76,250.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.11,Fried rice and lo/chow mein,energy_dense,42.2,15.71,39.49,1.35,27.0,14
"Soup, Bean, With Meat",weight_loss_friendly,84.0,5.88,10.0,2.35,3.5,0.92,248.0,7,1,6,0,0,7,"pre_workout, snack",100g,10.700000000000001,10.0,0.07,"Soups, broth-based",other,28.0,47.62,25.18,0.76,9.0,14
"Beef Chow Mein Or Chop Suey, No Noodles",weight_loss_friendly,82.0,10.76,3.85,2.61,0.8,1.76,253.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.13,Fried rice and lo/chow mein,energy_dense,52.49,18.78,28.65,0.75,25.0,14
"Egg, White, Cooked, No Added Fat",weight_loss_friendly,52.0,10.67,2.35,0.0,0.0,0.71,281.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.21,Eggs and omelets,other,82.08,18.08,0.0,0.0,0.0,14
"Egg, White Only, Raw",weight_loss_friendly,52.0,10.7,2.36,0.0,0.0,0.71,166.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.21,Eggs and omelets,other,82.31,18.15,0.0,0.0,0.0,14
"Cobb Salad, No Dressing",weight_loss_friendly,93.0,11.32,2.65,4.33,1.2,1.1,159.0,7,3,4,0,0,7,snack,100g,10.700000000000001,10.0,0.12,Vegetable dishes,other,48.69,11.4,41.9,1.05,61.0,14
"Egg Substitute, Omelet, Scrambled, Or Fried, Fat Added",weight_loss_friendly,96.0,9.34,1.88,5.72,0.0,1.88,313.0,4,5,5,0,0,7,snack,100g,10.619,9.73,0.1,Eggs and omelets,other,38.92,7.83,53.62,1.5,5.0,14
"Green Peas, Canned, Cooked, Fat Added, As To Fat Type",weight_loss_friendly,89.0,4.35,11.03,3.33,4.8,2.91,274.0,7,1,4,0,0,9,pre_workout,100g,10.5,10.0,0.05,Other starchy vegetables,vegetables,19.55,49.57,33.67,0.81,2.0,12
"Green Peas, Canned, Cooked With Butter Or Margarine",weight_loss_friendly,86.0,4.36,11.04,2.97,4.8,2.91,282.0,7,1,4,0,0,9,pre_workout,100g,10.5,10.0,0.05,Other starchy vegetables,vegetables,20.28,51.35,31.08,1.09,4.0,12
"Green Peas, Canned, Cooked With Oil",weight_loss_friendly,92.0,4.34,11.03,3.69,4.8,2.9,265.0,7,1,4,0,0,9,pre_workout,100g,10.479,9.93,0.05,Other starchy vegetables,vegetables,18.87,47.96,36.1,0.53,0.0,12
"Sambar, Vegetable Stew",weight_loss_friendly,86.0,4.33,11.77,2.71,4.0,1.97,207.0,7,1,4,0,0,9,pre_workout,100g,10.407,9.69,0.05,Vegetable dishes,other,20.14,54.74,28.36,0.37,0.0,12
"Green Peas, As To Form, Cooked",weight_loss_friendly,98.0,4.99,13.81,2.81,4.4,4.26,191.0,7,1,4,0,0,9,pre_workout,100g,10.374,9.58,0.05,Other starchy vegetables,vegetables,20.37,56.37,25.81,0.71,2.0,12
"Green Peas, Frozen, Cooked, Fat Added, As To Fat Type",weight_loss_friendly,98.0,4.99,13.81,2.81,4.4,4.26,191.0,7,1,4,0,0,9,pre_workout,100g,10.374,9.58,0.05,Other starchy vegetables,vegetables,20.37,56.37,25.81,0.71,2.0,12
"Beef And Potatoes With Cream Sauce, White Sauce Or Mushroom Sauce",weight_loss_friendly,100.0,8.04,8.66,3.79,0.7,1.28,337.0,4,3,7,0,0,7,"lunch, dinner, snack",100g,10.322000000000001,8.74,0.08,Meat mixed dishes,other,32.16,34.64,34.11,1.03,18.0,14
"Chili, White",weight_loss_friendly,95.0,9.92,9.68,1.91,2.4,0.97,324.0,4,3,6,0,0,7,snack,100g,10.299999999999999,10.0,0.1,Poultry mixed dishes,other,41.77,40.76,18.09,0.54,29.0,13
"Green Peas, Canned, Reduced Sodium, Cooked With Butter Or Margarine",weight_loss_friendly,89.0,3.89,11.85,3.11,4.0,3.9,32.0,7,1,4,0,0,9,pre_workout,100g,10.161,8.87,0.04,Other starchy vegetables,vegetables,17.48,53.26,31.45,1.25,5.0,12
Shrimp Cocktail,weight_loss_friendly,99.0,13.24,7.92,1.22,0.4,2.96,502.0,6,2,3,0,0,9,snack,100g,10.1,10.0,0.13,Shellfish,lean_proteins,53.49,32.0,11.09,0.25,119.0,11
Tripe,weight_loss_friendly,89.0,12.6,0.0,3.85,0.0,0.0,425.0,6,2,3,0,0,9,snack,100g,10.1,10.0,0.14,Liver and organ meats,other,56.63,0.0,38.93,1.35,127.0,11
"Peas And Carrots, Fresh, Cooked, Fat Added",weight_loss_friendly,89.0,3.22,12.47,3.03,4.4,5.25,172.0,7,1,4,0,0,9,pre_workout,100g,10.068,8.56,0.04,Other vegetables and combinations,vegetables,14.47,56.04,30.64,0.75,2.0,12
"Peas And Carrots, Cooked, As To Form",weight_loss_friendly,89.0,3.22,12.47,3.03,4.4,5.25,172.0,7,1,4,0,0,9,pre_workout,100g,10.068,8.56,0.04,Other vegetables and combinations,vegetables,14.47,56.04,30.64,0.75,2.0,12
