Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Cocoa Powder, Not Reconstituted",complex_carbs,228.0,19.6,57.9,13.7,37.0,1.75,21.0,7,8,10,7,9,4,"breakfast, post_workout, lunch, dinner",80-120g,19.0,10.0,0.09,Not included in a food category,other,34.39,100.0,54.08,8.07,0.0,25
"Hamburger, From School Cafeteria",complex_carbs,243.0,17.8,25.67,7.36,3.0,2.94,278.0,8,8,10,6,9,2,"breakfast, post_workout, lunch, dinner",80-120g,18.067999999999998,8.56,0.07,Burgers,other,29.3,42.26,27.26,2.42,38.0,26
Wheat Bran,complex_carbs,216.0,15.55,64.51,4.25,42.8,0.41,2.0,8,6,9,6,9,4,"breakfast, post_workout, lunch, dinner",80-120g,17.900000000000002,10.0,0.07,Not included in a food category,other,28.8,100.0,17.71,0.63,0.0,23
"Vegetable Mixture, Dried",complex_carbs,328.0,17.41,49.22,8.88,18.5,18.93,368.0,5,9,6,9,9,4,"breakfast, post_workout, lunch, dinner",80-120g,17.6,10.0,0.05,Not included in a food category,other,21.23,60.02,24.37,1.19,0.0,20
"Beans With Meat, As To Type",complex_carbs,184.0,10.7,20.56,6.88,7.1,0.38,275.0,8,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,17.501,9.67,0.06,"Beans, peas, legumes",complex_carbs,23.26,44.7,33.65,1.15,11.0,26
Pinto Beans With Meat,complex_carbs,186.0,10.73,21.07,6.9,7.2,0.38,275.0,8,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,17.492,9.64,0.06,"Beans, peas, legumes",complex_carbs,23.08,45.31,33.39,1.15,11.0,26
"White Beans, From Canned, Reduced Sodium",complex_carbs,211.0,10.43,29.76,6.06,6.9,2.0,251.0,8,8,10,6,6,2,"breakfast, lunch, dinner",80-120g,17.063,8.21,0.05,"Beans, peas, legumes",complex_carbs,19.77,56.42,25.85,0.91,0.0,26
Black Beans With Meat,complex_carbs,177.0,10.61,19.06,6.81,7.0,0.36,275.0,8,8,10,4,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.985,9.95,0.06,"Beans, peas, legumes",complex_carbs,23.98,43.07,34.63,1.16,11.0,26
Kidney Beans With Meat,complex_carbs,173.0,10.46,18.33,6.78,5.9,0.36,275.0,8,8,10,4,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.838,9.46,0.06,"Beans, peas, legumes",complex_carbs,24.18,42.38,35.27,1.1,11.0,26
"Black Beans, From Canned, Reduced Sodium",complex_carbs,178.0,8.54,23.43,5.92,9.8,0.33,195.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.8,10.0,0.05,"Beans, peas, legumes",complex_carbs,19.19,52.65,29.93,0.84,0.0,24
