Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Beef And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,147.0,12.13,4.34,9.15,1.0,1.56,245.0,7,5,8,1,0,9,"lunch, dinner, snack",150-200g,13.679,8.93,0.08,Stir-fry and soy-based sauce mixtures,other,33.01,11.81,56.02,2.02,32.0,20
"Egg Omelet Or Scrambled Egg, With Meat, Tomatoes, And Dark-Green Vegetables, No Added Fat",vegetables,141.0,12.07,1.52,9.68,0.2,0.54,319.0,6,5,8,1,0,9,"lunch, dinner, snack",150-200g,13.21,8.7,0.09,Eggs and omelets,other,34.24,4.31,61.79,3.11,322.0,19
"Chicken Or Turkey Garden Salad With Bacon And Cheese, Chicken And/Or Turkey, Bacon, Cheese, Lettuce And/Or Greens, Tomato And/Or Carrots, Other Vegetables, No Dressing",vegetables,106.0,10.95,3.0,5.61,0.9,1.09,228.0,7,5,8,0,0,7,"lunch, dinner, snack",150-200g,13.1,10.0,0.1,Poultry mixed dishes,other,41.32,11.32,47.63,2.56,34.0,20
"Beef And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,144.0,11.72,4.65,8.81,1.2,1.5,249.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.091000000000001,8.97,0.08,Stir-fry and soy-based sauce mixtures,other,32.56,12.92,55.06,1.94,31.0,20
"Egg Omelet Or Scrambled Egg, With Vegetables Other Than Dark Green And/Or Tomatoes, No Added Fat",vegetables,129.0,11.18,1.58,8.69,0.3,0.53,213.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.07,8.9,0.09,Eggs and omelets,other,34.67,4.9,60.63,2.78,356.0,20
"Egg Omelet Or Scrambled Egg, With Tomatoes And Dark-Green Vegetables, No Fat Added",vegetables,127.0,10.94,1.51,8.62,0.2,0.49,218.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.031,8.77,0.09,Eggs and omelets,other,34.46,4.76,61.09,2.76,353.0,20
"Egg Omelet Or Scrambled Egg, With Meat And Vegetables Other Than Dark-Green And/Or Tomatoes, No Added Fat",vegetables,139.0,11.95,1.58,9.42,0.2,0.56,284.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.022,8.74,0.09,Eggs and omelets,other,34.39,4.55,60.99,3.02,334.0,20
"Egg Omelet Or Scrambled Egg, With Tomatoes, No Added Fat",vegetables,127.0,10.9,1.55,8.67,0.2,0.62,213.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.022,8.74,0.09,Eggs and omelets,other,34.33,4.88,61.44,2.78,356.0,20
"Egg Omelet Or Scrambled Egg, With Meat And Tomatoes, No Added Fat",vegetables,137.0,11.69,1.55,9.4,0.2,0.64,284.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,13.004,8.68,0.09,Eggs and omelets,other,34.13,4.53,61.75,3.02,334.0,20
"Beef, Potatoes, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Soy-Based Sauce",vegetables,148.0,11.78,5.8,8.81,1.0,1.4,236.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,12.992,8.64,0.08,Stir-fry and soy-based sauce mixtures,other,31.84,15.68,53.57,1.94,31.0,20
"Beef, Potatoes, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Soy-Based Sauce",vegetables,149.0,11.75,5.96,8.82,1.1,1.34,246.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,12.986,8.62,0.08,Stir-fry and soy-based sauce mixtures,other,31.54,16.0,53.28,1.95,31.0,20
"Pork And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,145.0,11.02,4.65,9.03,1.2,1.5,255.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,12.929,8.43,0.08,Stir-fry and soy-based sauce mixtures,other,30.4,12.83,56.05,1.97,27.0,20
"Pork And Vegetables Excluding Carrots, Broccoli, And Dark- Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,149.0,11.4,4.34,9.37,1.0,1.56,251.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,12.896,8.32,0.08,Stir-fry and soy-based sauce mixtures,other,30.6,11.65,56.6,2.05,29.0,20
"Pork And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, No Sauce",vegetables,123.0,11.2,3.14,7.27,1.5,1.33,317.0,6,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.700000000000001,10.0,0.09,Meat mixed dishes,other,36.42,10.21,53.2,1.78,29.0,19
"Beef And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, No Sauce",vegetables,116.0,11.41,3.0,6.73,1.4,1.27,316.0,6,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.700000000000001,10.0,0.1,Meat mixed dishes,other,39.34,10.34,52.22,1.67,31.0,19
"Pork, Rice, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Soy-Based Sauce",vegetables,147.0,10.25,7.75,8.15,0.9,1.36,217.0,7,5,8,1,0,7,"lunch, dinner, snack",150-200g,12.677,7.59,0.07,Stir-fry and soy-based sauce mixtures,other,27.89,21.09,49.9,1.79,25.0,20
"Meat Loaf Made With Beef And Pork, With Tomato-Based Sauce",vegetables,157.0,13.63,6.75,8.18,0.7,2.2,426.0,5,6,7,1,2,6,"lunch, dinner, snack",150-200g,12.639,9.13,0.09,Meat mixed dishes,other,34.73,17.2,46.89,3.02,60.0,18
"Meat Loaf Made With Beef, With Tomato-Based Sauce",vegetables,159.0,13.78,6.77,8.35,0.7,2.23,429.0,5,6,7,1,2,6,"lunch, dinner, snack",150-200g,12.633,9.11,0.09,Meat mixed dishes,other,34.67,17.03,47.26,3.07,59.0,18
"Beef, Noodles, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Soy-Based Sauce",vegetables,139.0,10.31,7.6,7.58,1.2,1.29,216.0,7,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.584,8.28,0.07,Stir-fry and soy-based sauce mixtures,other,29.67,21.87,49.08,1.67,26.0,20
"Beef, Noodles, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Soy-Based Sauce",vegetables,139.0,10.4,7.44,7.64,1.0,1.36,206.0,7,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.559999999999999,8.2,0.07,Stir-fry and soy-based sauce mixtures,other,29.93,21.41,49.47,1.68,26.0,20
"Beef, Rice, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Soy-Based Sauce",vegetables,143.0,10.56,7.9,7.7,1.1,1.31,217.0,7,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.545,8.15,0.07,Stir-fry and soy-based sauce mixtures,other,29.54,22.1,48.46,1.7,27.0,20
"Beef, Rice, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Soy-Based Sauce",vegetables,145.0,10.88,7.75,7.96,0.9,1.36,212.0,7,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.536,8.12,0.08,Stir-fry and soy-based sauce mixtures,other,30.01,21.38,49.41,1.76,27.0,20
"Crabs In Tomato-Based Sauce, Puerto Rican Style",vegetables,144.0,12.52,2.92,8.9,0.6,1.16,617.0,6,4,7,1,0,9,"lunch, dinner, snack",150-200g,12.533000000000001,9.11,0.09,Seafood mixed dishes,lean_proteins,34.78,8.11,55.62,1.44,66.0,17
"Beef And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, No Sauce",vegetables,121.0,10.03,5.16,7.09,1.1,0.99,324.0,6,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.459999999999999,9.2,0.08,Meat mixed dishes,other,33.16,17.06,52.74,1.62,27.0,19
"Pork And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, No Sauce",vegetables,124.0,10.07,5.52,7.03,1.2,1.06,319.0,6,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.427,9.09,0.08,Meat mixed dishes,other,32.48,17.81,51.02,1.66,26.0,19
