exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
dG5Smob,Snatch Pull,5,barbell,quads,"hamstrings, glutes, calves",upper legs,4,https://static.exercisedb.dev/media/dG5Smob.gif,"Step:1 Stand with your feet shoulder-width apart and the barbell on the ground in front of you. | Step:2 Bend your knees and hinge at the hips to lower into a squat position, gripping the barbell with an overhand grip. | Step:3 Keep your back straight and chest up as you drive through your heels to lift the barbell off the ground, extending your hips and knees. | Step:4 As the barbell reaches hip level, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides. | Step:5 As the barbell reaches its highest point, quickly drop underneath it, pulling yourself into a deep squat position. | Step:6 Catch the barbell overhead with your arms fully extended and your knees bent. | Step:7 Stand up by extending your hips and knees, keeping the barbell overhead. | Step:8 Lower the barbell back down to the starting position by reversing the movement. | Step:9 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
JOZhu2h,Cable Standing Twist Row (V-Bar),5,cable,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/JOZhu2h.gif,"Step:1 Attach a v-bar attachment to a cable machine at chest height. | Step:2 Stand facing the cable machine with your feet shoulder-width apart. | Step:3 Grasp the v-bar with an overhand grip, palms facing down. | Step:4 Take a step back to create tension in the cable. | Step:5 Keep your back straight and core engaged throughout the exercise. | Step:6 Pull the v-bar towards your torso by retracting your shoulder blades and bending your elbows. | Step:7 As you pull, twist your torso to one side, squeezing your shoulder blades together. | Step:8 Pause for a moment at the top of the movement, feeling the contraction in your upper back. | Step:9 Slowly release the tension and return to the starting position, untwisting your torso. | Step:10 Repeat the movement for the desired number of repetitions, alternating the twisting direction with each rep.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,2.0,3.0,5.0,7.0,8.0,2.3
lFhb2Rw,Smith Front Squat (Clean Grip),5,smith machine,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/lFhb2Rw.gif,"Step:1 Set up the smith machine with the barbell at shoulder height. | Step:2 Stand facing the barbell with your feet shoulder-width apart. | Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:4 Step back and position the barbell on your front shoulders, resting it on your collarbone and deltoids. | Step:5 Keep your chest up, back straight, and core engaged. | Step:6 Lower your body by bending at the knees and hips, as if sitting back into a chair. | Step:7 Continue lowering until your thighs are parallel to the ground or slightly below. | Step:8 Pause for a moment, then push through your heels to return to the starting position. | Step:9 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
ZuPXtCK,Smith Hack Squat,5,smith machine,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/ZuPXtCK.gif,"Step:1 Adjust the barbell on the smith machine to an appropriate height for your body. | Step:2 Stand with your feet shoulder-width apart, toes slightly pointed outwards. | Step:3 Position yourself under the barbell, resting it on your upper traps and shoulders. | Step:4 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:5 Engage your core and keep your chest up as you unrack the barbell. | Step:6 Take a step back and position your feet slightly wider than shoulder-width apart. | Step:7 Bend your knees and lower your body down, keeping your chest up and back straight. | Step:8 Continue descending until your thighs are parallel to the ground or slightly below. | Step:9 Pause for a moment at the bottom, then push through your heels to return to the starting position. | Step:10 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,3.0,4.0,5.0,7.0,8.0,4.5
RGLscZM,Smith Low Bar Squat,5,smith machine,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/RGLscZM.gif,"Step:1 Set up the smith machine with the barbell at a height that allows you to comfortably rest it on your upper back. | Step:2 Stand with your feet shoulder-width apart, toes slightly turned outwards. | Step:3 Step under the bar and position it across your upper back, resting it on your traps. | Step:4 Grip the bar with your hands slightly wider than shoulder-width apart. | Step:5 Unrack the bar by straightening your legs and stepping back from the rack. | Step:6 Take a deep breath and brace your core. | Step:7 Initiate the squat by pushing your hips back and bending your knees. | Step:8 Lower your body until your thighs are parallel to the ground or slightly below. | Step:9 Keep your chest up and your back straight throughout the movement. | Step:10 Drive through your heels to stand back up, extending your hips and knees. | Step:11 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,3.0,4.0,5.0,7.0,8.0,4.5
xHKN2s8,Barbell One Arm Snatch,5,barbell,delts,"traps, forearms, core",shoulders,4,https://static.exercisedb.dev/media/xHKN2s8.gif,"Step:1 Stand with your feet shoulder-width apart, toes pointing slightly outwards. | Step:2 Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:3 Bend your knees and lower your hips into a squat position, keeping your back straight and chest up. | Step:4 Explosively extend your hips, knees, and ankles, driving the barbell upwards. | Step:5 As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body. | Step:6 Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow. | Step:7 Lower the barbell back down to the starting position in a controlled manner. | Step:8 Repeat for the desired number of repetitions, then switch arms.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
SiWCcTN,Power Clean,5,barbell,hamstrings,"glutes, quadriceps, calves",upper legs,4,https://static.exercisedb.dev/media/SiWCcTN.gif,"Step:1 Start with the barbell on the ground in front of you, with your feet shoulder-width apart. | Step:2 Bend down and grip the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Keep your back straight and chest up as you lift the barbell off the ground, extending your hips and knees. | Step:4 As the barbell reaches your mid-thigh, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides. | Step:5 As the barbell reaches its highest point, quickly drop underneath it, rotating your elbows around and catching the barbell on your shoulders in a front squat position. | Step:6 Stand up with the barbell, fully extending your hips and knees. | Step:7 Lower the barbell back down to the starting position, keeping control of the weight throughout the movement. | Step:8 Repeat for the desired number of repetitions.",0.0,7.0,7.5,9.0,7.5,7.5,0.0,0.0,0.0,9.0,Power Training,3.4,3.9,8.0,8.0,4.3,2.0,3.0,5.0,7.0,8.0,5.1
27NNGFr,Cable Incline Fly (On Stability Ball),4,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/27NNGFr.gif,"Step:1 Set up a stability ball at an incline angle. | Step:2 Attach the cable handles to the high pulleys of a cable machine. | Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground. | Step:4 Grasp the cable handles with an overhand grip, palms facing forward. | Step:5 Lean forward slightly, keeping your back straight and core engaged. | Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows. | Step:7 Continue the motion until your arms are parallel to the ground. | Step:8 Pause for a moment, then slowly return to the starting position. | Step:9 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,3.0,6.0,6.0,8.0,7.0,5.4
DhMl549,Barbell Full Squat (Back Pov),4,barbell,glutes,"quadriceps, hamstrings, calves, core",upper legs,5,https://static.exercisedb.dev/media/DhMl549.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. | Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. | Step:3 Engage your core and keep your chest up as you begin to lower your body down. | Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. | Step:5 Lower your body until your thighs are parallel to the ground or slightly below. | Step:6 Keep your knees in line with your toes and your weight in your heels. | Step:7 Drive through your heels to stand back up, extending your hips and knees. | Step:8 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,3.0,6.0,6.0,8.0,7.0,4.5
qRZ5S1N,Cable One Arm Tricep Pushdown,4,cable,triceps,forearms,upper arms,2,https://static.exercisedb.dev/media/qRZ5S1N.gif,"Step:1 Stand facing a cable machine with a straight bar attachment at chest height. | Step:2 Grasp the bar with an overhand grip and step back to create tension in the cable. | Step:3 Position your feet shoulder-width apart and slightly bend your knees. | Step:4 Keep your back straight and core engaged throughout the exercise. | Step:5 Start with your arm fully extended and perpendicular to the floor. | Step:6 Keeping your upper arm stationary, exhale and push the bar down until your arm is fully extended. | Step:7 Pause for a moment, then inhale and slowly return to the starting position. | Step:8 Repeat for the desired number of repetitions, then switch arms.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,3.0,6.0,6.0,8.0,7.0,2.9
