exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
ecl28tP,Dumbbell Contralateral Forward Lunge,3,dumbbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/ecl28tP.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. | Step:2 Take a step forward with your right foot, keeping your back straight and core engaged. | Step:3 Lower your body by bending both knees until your right thigh is parallel to the ground. | Step:4 Push through your right heel to return to the starting position. | Step:5 Repeat with your left leg. | Step:6 Alternate legs for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.5,7.0,7.0,6.0,5.0,4.5
kuMiR2T,Band Stiff Leg Deadlift,3,band,glutes,"hamstrings, lower back",upper legs,3,https://static.exercisedb.dev/media/kuMiR2T.gif,"Step:1 Stand with your feet shoulder-width apart and place the band around your ankles. | Step:2 Hold the band with both hands in front of your thighs, palms facing your body. | Step:3 Keeping your back straight and your core engaged, hinge at the hips and slowly lower your upper body towards the ground. | Step:4 As you lower, push your hips back and allow your knees to bend slightly. | Step:5 Lower the band towards the ground, feeling a stretch in your hamstrings. | Step:6 Pause for a moment at the bottom, then engage your glutes and hamstrings to lift your upper body back up to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,7.5,7.0,7.0,6.0,5.0,4.5
T2fA5Ir,Squat On Bosu Ball,3,bosu ball,quads,"glutes, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/T2fA5Ir.gif,"Step:1 Place the bosu ball on the ground with the flat side up. | Step:2 Stand with your feet shoulder-width apart and position yourself on top of the bosu ball. | Step:3 Lower your body down by bending your knees and hips, as if sitting back into a chair. | Step:4 Keep your chest up and your weight on your heels. | Step:5 Lower yourself until your thighs are parallel to the ground. | Step:6 Pause for a moment, then push through your heels to return to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,6.0,7.0,7.0,6.0,5.0,5.4
H6ybluc,Dumbbell Single Leg Squat,3,dumbbell,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/H6ybluc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. | Step:2 Extend one leg forward and keep it off the ground throughout the exercise. | Step:3 Bend your standing leg and lower your body down as if sitting back into a chair. | Step:4 Keep your chest up and your back straight. | Step:5 Pause for a moment at the bottom, then push through your heel to return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch legs.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,7.5,7.0,7.0,6.0,5.0,5.4
72BC5Za,Archer Pull Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/72BC5Za.gif,"Step:1 Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. | Step:2 Engage your core and pull your shoulder blades down and back. | Step:3 As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. | Step:4 Continue pulling until your chin is above the bar and your bent arm is fully flexed. | Step:5 Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. | Step:6 Alternate sides with each repetition.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
CHpahtl,Lever Seated Hip Abduction,3,leverage machine,abductors,"glutes, hamstrings",upper legs,3,https://static.exercisedb.dev/media/CHpahtl.gif,"Step:1 Adjust the seat height so that your knees are at a 90-degree angle. | Step:2 Sit on the machine with your back against the backrest and your feet on the footrests. | Step:3 Place your hands on the side handles for stability. | Step:4 Engage your abductors and slowly push your legs apart, away from the midline of your body. | Step:5 Pause for a moment at the end of the movement, then slowly bring your legs back together to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,0.0
MrgP9L6,Lever Rotary Calf,3,leverage machine,calves,"soleus, ankle stabilizers",lower legs,3,https://static.exercisedb.dev/media/MrgP9L6.gif,"Step:1 Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate. | Step:2 Place your toes on the footplate, with your heels hanging off the edge. | Step:3 Grasp the handles or the sides of the machine for stability. | Step:4 Push through the balls of your feet, raising your heels as high as possible. | Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiovascular Training,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,0.0
VPPtusI,Inverted Row Bent Knees,3,body weight,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/VPPtusI.gif,"Step:1 Set up a bar at waist height and lie underneath it. | Step:2 Grab the bar with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Position your body so that your heels are on the ground and your body is straight. | Step:4 Pull your chest up towards the bar by squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
GNhAeJ0,Dumbbell Hammer Curls (With Arm Blaster),3,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/GNhAeJ0.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your torso. | Step:2 Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. | Step:3 This will be your starting position. | Step:4 Now, while holding your upper arm stationary, exhale and curl the weights while contracting your biceps. | Step:5 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:6 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:7 Then, inhale and slowly begin to lower the dumbbells back to the starting position. | Step:8 Repeat for the recommended amount of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,7.5,7.0,7.0,6.0,5.0,2.9
FWdVhcW,Cable Standing Shoulder External Rotation,3,cable,delts,"rotator cuff, trapezius",shoulders,3,https://static.exercisedb.dev/media/FWdVhcW.gif,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. | Step:2 Hold the cable handle with your arm extended in front of you, parallel to the ground. | Step:3 Keep your elbow slightly bent and your shoulder blades pulled back. | Step:4 Slowly rotate your arm outward, away from your body, while keeping your elbow in the same position. | Step:5 Pause for a moment at the end of the movement, then slowly return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Strength Training,3.8,3.9,7.0,7.0,3.8,5.0,7.0,7.0,7.0,6.0,4.5
