exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
xAySMB0,Balance Board,2,body weight,quads,"calves, hamstrings, glutes",upper legs,4,https://static.exercisedb.dev/media/xAySMB0.gif,"Step:1 Place the balance board on a flat surface. | Step:2 Step onto the balance board with one foot, ensuring it is centered. | Step:3 Slowly shift your weight onto the foot on the balance board, keeping your core engaged. | Step:4 Maintain your balance and stability as you hold the position for a desired amount of time. | Step:5 Repeat the exercise with the other foot.",0.0,3.5,3.0,0.0,4.5,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,3.1,1.2,2.2,2.2,2.7,8.5,8.0,6.0,5.0,3.0,2.1
LNE3wfo,Single Leg Platform Slide,2,body weight,hamstrings,"glutes, quadriceps",upper legs,3,https://static.exercisedb.dev/media/LNE3wfo.gif,"Step:1 Start by standing with one foot on a platform or slide board. | Step:2 Bend your knee slightly and slide the foot on the platform backward, extending your leg. | Step:3 Keep your core engaged and maintain a straight posture throughout the movement. | Step:4 Slowly return to the starting position by sliding your foot back to the initial position. | Step:5 Repeat the movement for the desired number of repetitions, then switch legs.",0.0,3.5,3.0,0.0,4.5,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,3.1,1.2,2.2,2.2,2.7,8.5,8.0,6.0,5.0,3.0,2.1
EyLrNC2,Exercise Ball Alternating Arm Ups,3,stability ball,lats,"shoulders, core",back,3,https://static.exercisedb.dev/media/EyLrNC2.gif,"Step:1 Sit on the stability ball with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in each hand with your palms facing inwards and your arms extended down by your sides. | Step:3 Engage your core and slowly lift one arm up towards your shoulder, keeping your elbow slightly bent. | Step:4 Pause for a moment at the top, then slowly lower your arm back down to the starting position. | Step:5 Repeat the movement with the other arm. | Step:6 Continue alternating arms for the desired number of repetitions.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,6.0,7.0,7.0,6.0,5.0,0.9
P7zSvul,Push Up On Bosu Ball With Improved,2,bosu ball,pectorals,"triceps, shoulders, core",chest,4,https://static.exercisedb.dev/media/P7zSvul.gif,Step:1 Place the bosu ball on the ground with the flat side facing up. | Step:2 Position yourself in a push-up position with your hands on the outer edges of the bosu ball. | Step:3 Engage your core and lower your body down towards the bosu ball by bending your elbows. Focus on improved movement. | Step:4 Push yourself back up to the starting position by extending your arms. | Step:5 Repeat for the desired number of repetitions.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,7.0,8.0,6.0,5.0,3.0,0.9
kKYTkjJ,Exercise Ball One Leg Prone Lower Body Rotation Fierce,4,stability ball,glutes,"hamstrings, quadriceps, core",upper legs,4,https://static.exercisedb.dev/media/kKYTkjJ.gif,"Step:1 Lie face down on the stability ball with your hips resting on the ball and your legs extended straight behind you. | Step:2 Place your hands on the ground in front of you for support. | Step:3 Engage your glutes and core muscles to stabilize your body. | Step:4 Slowly lift one leg off the ground, keeping it straight and parallel to the floor. | Step:5 Rotate your leg outward, away from your body, while keeping your hips and upper body stable. | Step:6 Pause for a moment at the end of the rotation, then slowly return your leg to the starting position. | Step:7 Repeat the rotation with the other leg. Focus on fierce movement. | Step:8 Continue alternating legs for the desired number of repetitions.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,4.0,6.0,6.0,7.0,6.0,0.9
b5uBMv2,Exercise Ball Alternating Arm Ups With Fast,3,stability ball,lats,"shoulders, core",back,3,https://static.exercisedb.dev/media/b5uBMv2.gif,"Step:1 Sit on the stability ball with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in each hand with your palms facing inwards and your arms extended down by your sides. | Step:3 Engage your core and slowly lift one arm up towards your shoulder, keeping your elbow slightly bent. Perform with fast intensity. | Step:4 Pause for a moment at the top, then slowly lower your arm back down to the starting position. | Step:5 Repeat the movement with the other arm. | Step:6 Continue alternating arms for the desired number of repetitions.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,6.0,7.0,7.0,6.0,5.0,0.9
9JprnPh,Band Single Leg Calf Raise,1,band,calves,"ankles, feet",lower legs,3,https://static.exercisedb.dev/media/9JprnPh.gif,"Step:1 Stand with your feet hip-width apart and place the band around the ball of your left foot. | Step:2 Hold onto a stable object for balance if needed. | Step:3 Slowly raise your left heel off the ground, lifting your body weight onto the ball of your foot. | Step:4 Pause for a moment at the top, then slowly lower your left heel back down to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch to the right leg.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,9.5,7.0,5.0,3.0,3.0,0.9
d7z1Y7V,Exercise Ball Hug,3,stability ball,spine,"shoulders, chest",back,3,https://static.exercisedb.dev/media/d7z1Y7V.gif,"Step:1 Sit on the stability ball with your feet flat on the ground and your back straight. | Step:2 Hold the stability ball with both hands, hugging it close to your chest. | Step:3 Engage your core muscles and slowly lean back, keeping your back straight and your feet planted on the ground. | Step:4 Continue leaning back until you feel a stretch in your back muscles. | Step:5 Hold the position for a few seconds, then slowly return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,6.0,7.0,7.0,6.0,5.0,0.9
6bOA1Oi,Weighted Side Bend (On Stability Ball),2,weighted,abs,"obliques, lower back",waist,3,https://static.exercisedb.dev/media/6bOA1Oi.gif,"Step:1 Sit on a stability ball with your feet shoulder-width apart and flat on the ground. | Step:2 Hold a weight in one hand and place your other hand on your hip. | Step:3 Engage your core and slowly bend sideways towards the weighted side, keeping your back straight. | Step:4 Pause for a moment at the bottom, then slowly return to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch sides.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,7.0,8.0,6.0,5.0,3.0,0.9
kprile3,Exercise Ball Dip,2,stability ball,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/kprile3.gif,"Step:1 Sit on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. | Step:2 Place your hands on the ball beside your hips, fingers pointing forward. | Step:3 Engage your triceps and push through your hands to lift your body off the ball, straightening your arms. | Step:4 Lower your body back down by bending your elbows, keeping them close to your sides. | Step:5 Repeat for the desired number of repetitions.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.5,0.0,0.0,Balance & Coordination,1.7,0.3,0.3,0.3,1.3,7.0,8.0,6.0,5.0,3.0,0.9
