exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
Al3tP0D,Medicine Ball Supine Chest Throw,2,medicine ball,triceps,"chest, shoulders",upper arms,3,https://static.exercisedb.dev/media/Al3tP0D.gif,"Step:1 Lie flat on your back on a bench with your knees bent and feet flat on the ground. | Step:2 Hold the medicine ball with both hands, extending your arms straight up above your chest. | Step:3 Lower the medicine ball towards your chest, keeping your elbows close to your body. | Step:4 Explosively push the medicine ball upwards, extending your arms fully and throwing the ball as high as possible. | Step:5 Catch the medicine ball and repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.0,7.0,6.0,5.0,3.0,2.3
MgKwAAo,Cable Rope Extension Incline Bench Row,2,cable,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/MgKwAAo.gif,"Step:1 Set up an incline bench at a 45-degree angle and attach a cable machine to the low pulley. | Step:2 Attach a rope handle to the cable machine and sit on the incline bench facing the machine. | Step:3 Grab the rope handle with an overhand grip and lean forward, keeping your back straight. | Step:4 Extend your arms fully, pulling the rope towards your upper chest while keeping your elbows close to your body. | Step:5 Squeeze your shoulder blades together at the end of the movement. | Step:6 Slowly release the tension and return to the starting position. | Step:7 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,7.0,6.0,6.0,4.0,2.3
tig3PXb,Bodyweight Standing Close-Grip Row,3,body weight,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/tig3PXb.gif,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent. | Step:2 Bend forward at the waist, keeping your back straight and your core engaged. | Step:3 Extend your arms straight in front of you, gripping the bar or handles with a close grip. | Step:4 Pull the bar or handles towards your body, squeezing your shoulder blades together. | Step:5 Pause for a moment at the top of the movement, then slowly release and return to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
wqNPGCg,Cable Rear Delt Row (With Rope),3,cable,delts,"trapezius, rhomboids, biceps",shoulders,4,https://static.exercisedb.dev/media/wqNPGCg.gif,"Step:1 Attach a rope handle to a low pulley cable machine. | Step:2 Stand facing the machine with your feet shoulder-width apart. | Step:3 Grasp the rope handle with an overhand grip, palms facing each other. | Step:4 Bend your knees slightly and hinge forward at the hips, keeping your back straight. | Step:5 Keep your elbows slightly bent and pull the rope towards your chest, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top of the movement, then slowly release the tension and return to the starting position. | Step:7 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
76vfTdU,Dumbbell Step Up Single Leg Balance With Bicep Curl,2,dumbbell,biceps,"quadriceps, glutes, hamstrings",upper arms,4,https://static.exercisedb.dev/media/76vfTdU.gif,"Step:1 Stand in front of a step or platform with a dumbbell in each hand, palms facing your body. | Step:2 Place your right foot on the step, ensuring your entire foot is in contact with the surface. | Step:3 Engage your core and push through your right heel to lift your body up onto the step, bringing your left knee up towards your chest. | Step:4 At the top of the movement, perform a bicep curl by bending your elbows and bringing the dumbbells towards your shoulders. | Step:5 Lower the dumbbells back down and simultaneously lower your left foot back to the ground. | Step:6 Repeat the movement on the opposite side, stepping up with your left foot and curling the dumbbells. | Step:7 Continue alternating sides for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
6cKQC5E,Dumbbell One Arm Upright Row,2,dumbbell,delts,"traps, biceps",shoulders,3,https://static.exercisedb.dev/media/6cKQC5E.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with an overhand grip. | Step:2 Let the dumbbell hang at arm's length in front of your thighs, with your palm facing your body. | Step:3 Keeping your back straight and your core engaged, exhale and lift the dumbbell straight up towards your chin, leading with your elbow. | Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
km2Ljzj,Wheel Run,2,body weight,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/km2Ljzj.gif,"Step:1 Start in a plank position with your hands on the wheel and your body straight. | Step:2 Engage your core and start rolling the wheel forward by extending your arms. | Step:3 Continue rolling until your body is fully extended and your arms are overhead. | Step:4 Reverse the movement by pulling the wheel back towards your body, using your core and arms. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
PQStVXH,Cable Upper Row,4,cable,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/PQStVXH.gif,"Step:1 Attach a straight bar to a cable machine at chest height. | Step:2 Stand facing the machine with your feet shoulder-width apart. | Step:3 Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart. | Step:4 Keep your back straight and your core engaged. | Step:5 Pull the bar towards your upper chest, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top of the movement. | Step:7 Slowly release the bar back to the starting position. | Step:8 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,2.0,5.0,6.0,8.0,7.0,2.3
qcY50ZD,Cable Seated Wide-Grip Row,3,cable,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/qcY50ZD.gif,"Step:1 Sit on the cable row machine with your feet flat on the footrests and your knees slightly bent. | Step:2 Grasp the handle with a wide overhand grip, palms facing down. | Step:3 Keep your back straight and lean slightly forward from the hips. | Step:4 Pull the handle towards your lower chest, squeezing your shoulder blades together. | Step:5 Pause for a moment at the peak of the contraction. | Step:6 Slowly release the handle back to the starting position, fully extending your arms. | Step:7 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
Iptlv6x,Dumbbell Upright Row (Back Pov),3,dumbbell,delts,"traps, biceps",shoulders,3,https://static.exercisedb.dev/media/Iptlv6x.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. | Step:2 Let the dumbbells hang in front of your thighs, with your arms fully extended and your palms facing your body. | Step:3 Keeping your back straight and your core engaged, exhale and lift the dumbbells straight up towards your chin, leading with your elbows. | Step:4 Continue lifting until the dumbbells are at shoulder height, with your elbows pointing out to the sides. | Step:5 Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
