exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
xnInPfE,Barbell Standing Ab Rollerout,2,barbell,abs,"shoulders, lower back",waist,3,https://static.exercisedb.dev/media/xnInPfE.gif,"Step:1 Stand upright with your feet shoulder-width apart and hold the barbell with both hands in front of your thighs. | Step:2 Engage your core and slowly roll the barbell down towards the ground, keeping your back straight and your arms extended. | Step:3 Continue rolling the barbell forward until your body is fully extended and your hands are directly above your head. | Step:4 Pause for a moment, then slowly roll the barbell back towards your thighs, maintaining control and keeping your core engaged. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,5.0,6.0,9.0,6.5,0.0,9.0,Flexibility & Mobility,5.5,3.4,6.6,6.6,4.7,6.0,8.0,6.0,6.0,4.0,5.3
Gxg9lDc,Barbell Rollerout From Bench,3,barbell,abs,"shoulders, triceps",waist,3,https://static.exercisedb.dev/media/Gxg9lDc.gif,"Step:1 Start by kneeling on the floor with a barbell placed on a bench in front of you. | Step:2 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Keeping your core engaged and your back straight, slowly roll the barbell forward, extending your arms in front of you. | Step:4 Continue rolling the barbell forward until your body is fully extended and your arms are overhead. | Step:5 Pause for a moment at the fully extended position, then slowly roll the barbell back towards your body, returning to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,5.0,6.0,9.0,6.5,0.0,9.0,Flexibility & Mobility,5.5,3.4,6.6,6.6,4.7,5.0,7.0,7.0,7.0,6.0,5.3
PDHE73u,Controlled Band Straight Back Stiff Leg Deadlift,3,band,glutes,"hamstrings, lower back",upper legs,3,https://static.exercisedb.dev/media/PDHE73u.gif,"Step:1 Stand with your feet shoulder-width apart and place the band around your upper legs. | Step:2 Hold the band with both hands in front of your thighs, palms facing your body. | Step:3 Keeping your back straight and your knees slightly bent, hinge at the hips and lower the band towards the ground. Focus on controlled movement. | Step:4 Feel the stretch in your hamstrings as you lower the band. | Step:5 Engage your glutes and hamstrings to lift your body back up to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,5.0,6.0,9.0,6.5,0.0,9.0,Flexibility & Mobility,5.5,3.4,6.6,6.6,4.7,7.5,7.0,7.0,6.0,5.0,5.3
7M66AVi,Barbell Rollerout,2,barbell,abs,lower back,waist,2,https://static.exercisedb.dev/media/7M66AVi.gif,"Step:1 Kneel on the floor and hold a barbell with both hands, shoulder-width apart. | Step:2 Roll the barbell forward, extending your arms and keeping your core engaged. | Step:3 Continue rolling forward until your body is fully extended and your arms are overhead. | Step:4 Pause for a moment, then slowly roll the barbell back towards your knees, maintaining control. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,5.0,4.0,9.0,6.5,0.0,7.5,Flexibility & Mobility,5.0,2.7,6.0,6.0,4.2,6.0,8.0,6.0,6.0,4.0,4.7
rmEukuS,Single Leg Bridge With Outstretched Leg,2,body weight,glutes,"hamstrings, quadriceps",upper legs,3,https://static.exercisedb.dev/media/rmEukuS.gif,"Step:1 Lie on your back with your knees bent and feet flat on the ground. | Step:2 Extend one leg straight out in front of you. | Step:3 Engage your glutes and lift your hips off the ground, forming a straight line from your knees to your shoulders. | Step:4 Hold for a moment at the top, then slowly lower your hips back down to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch legs.",0.0,3.5,3.0,0.0,7.0,0.0,9.0,8.5,0.0,0.0,Flexibility & Mobility,5.1,1.6,2.6,2.6,4.2,8.5,8.0,6.0,5.0,3.0,3.2
mAYqY4M,Stretched Full Planche Push-Up,3,body weight,pectorals,"shoulders, triceps, core",chest,4,https://static.exercisedb.dev/media/mAYqY4M.gif,"Step:1 Start in a push-up position with your hands placed slightly wider than shoulder-width apart. | Step:2 Engage your core and lower your body down towards the ground, keeping your elbows close to your sides. | Step:3 As you lower yourself, lean your body forward and lift your feet off the ground, balancing on your hands. Perform with stretched intensity. | Step:4 Continue to lower your body until your chest is just above the ground. | Step:5 Push through your hands and extend your arms to lift your body back up to the starting position. | Step:6 Maintain a straight line from your head to your heels throughout the movement. | Step:7 Repeat for the desired number of repetitions.",0.0,3.5,3.0,0.0,5.0,0.0,9.0,6.5,0.0,0.0,Flexibility & Mobility,4.3,1.3,2.3,2.3,3.5,7.5,7.0,7.0,6.0,5.0,2.7
qOKcgVP,Standing Calves Calf Stretch,3,body weight,calves,"hamstrings, glutes",lower legs,3,https://static.exercisedb.dev/media/qOKcgVP.gif,"Step:1 Stand facing a wall or sturdy object, about an arm's length away. | Step:2 Place your hands on the wall or object at shoulder height. | Step:3 Step back with one foot, keeping your heel flat on the ground. | Step:4 Bend your front knee slightly and lean forward, keeping your back leg straight. | Step:5 You should feel a stretch in your calf muscle. | Step:6 Hold the stretch for 20-30 seconds. | Step:7 Repeat on the other leg.",0.0,3.5,3.0,0.0,5.0,0.0,9.0,6.5,0.0,0.0,Flexibility & Mobility,4.3,1.3,2.3,2.3,3.5,7.5,7.0,7.0,6.0,5.0,2.7
f38OEuO,Kneeling Lat Stretch,3,body weight,lats,"shoulders, triceps",back,3,https://static.exercisedb.dev/media/f38OEuO.gif,"Step:1 Kneel on the ground with your knees hip-width apart and your toes pointing back. | Step:2 Extend your arms overhead and interlace your fingers. | Step:3 Keeping your back straight, slowly lean to the right side, feeling a stretch in your left lat muscle. | Step:4 Hold the stretch for 20-30 seconds, then return to the starting position. | Step:5 Repeat the stretch on the left side, leaning to the left and feeling a stretch in your right lat muscle. | Step:6 Continue alternating sides for the desired number of repetitions.",0.0,3.5,3.0,0.0,5.0,0.0,9.0,6.5,0.0,0.0,Flexibility & Mobility,4.3,1.3,2.3,2.3,3.5,7.5,7.0,7.0,6.0,5.0,2.7
3uj0Ozg,Dynamic Chest Stretch (Male),3,body weight,pectorals,"shoulders, triceps",chest,3,https://static.exercisedb.dev/media/3uj0Ozg.gif,"Step:1 Stand tall with your feet shoulder-width apart. | Step:2 Extend your arms straight out to the sides, parallel to the ground. | Step:3 Slowly bring your arms forward, crossing them in front of your body. | Step:4 Feel the stretch in your chest muscles. | Step:5 Hold the stretch for 10-30 seconds. | Step:6 Return to the starting position and repeat for the desired number of repetitions.",0.0,3.5,3.0,0.0,5.0,0.0,9.0,6.5,0.0,0.0,Flexibility & Mobility,4.3,1.3,2.3,2.3,3.5,7.5,7.0,7.0,6.0,5.0,2.7
X7jbxra,Circles Knee Stretch,2,body weight,calves,"hamstrings, quadriceps",lower legs,3,https://static.exercisedb.dev/media/X7jbxra.gif,"Step:1 Stand with your feet shoulder-width apart and your hands on your hips. | Step:2 Bend your knees slightly and lift your heels off the ground, balancing on the balls of your feet. | Step:3 Keeping your knees bent, rotate your knees in a circular motion, first clockwise and then counterclockwise. | Step:4 Perform the movement for the desired number of repetitions.",0.0,3.5,3.0,0.0,5.0,0.0,9.0,6.5,0.0,0.0,Flexibility & Mobility,4.3,1.3,2.3,2.3,3.5,8.5,8.0,6.0,5.0,3.0,2.7
