exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
27NNGFr,Cable Incline Fly (On Stability Ball),4,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/27NNGFr.gif,"Step:1 Set up a stability ball at an incline angle. | Step:2 Attach the cable handles to the high pulleys of a cable machine. | Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground. | Step:4 Grasp the cable handles with an overhand grip, palms facing forward. | Step:5 Lean forward slightly, keeping your back straight and core engaged. | Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows. | Step:7 Continue the motion until your arms are parallel to the ground. | Step:8 Pause for a moment, then slowly return to the starting position. | Step:9 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,3.0,6.0,6.0,8.0,7.0,5.4
y8bYM8w,Band Single Leg Split Squat,2,band,quads,"glutes, hamstrings",upper legs,3,https://static.exercisedb.dev/media/y8bYM8w.gif,"Step:1 Stand with your feet hip-width apart and place a resistance band around your ankles. | Step:2 Take a big step forward with your right foot and a smaller step back with your left foot. | Step:3 Bend your knees and lower your body until your right thigh is parallel to the ground, keeping your left knee slightly above the ground. | Step:4 Push through your right heel to return to the starting position. | Step:5 Repeat on the other side.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,8.5,8.0,6.0,5.0,3.0,5.4
DICPHtq,Targeted Style Single Leg Calf Raise (On A Dumbbell),1,dumbbell,calves,"ankles, feet",lower legs,3,https://static.exercisedb.dev/media/DICPHtq.gif,"Step:1 Stand with your feet hip-width apart and hold a dumbbell in one hand. | Step:2 Lift one foot off the ground and balance on the other foot. | Step:3 Slowly raise your heel as high as possible, using your calf muscles. Emphasize targeted control. | Step:4 Pause for a moment at the top, then slowly lower your heel back down. | Step:5 Repeat for the desired number of repetitions, then switch to the other leg.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,9.5,7.0,5.0,3.0,3.0,5.4
JxrY9mC,Stability Style Band Kneeling One Arm Pulldown,3,band,lats,"biceps, rhomboids",back,3,https://static.exercisedb.dev/media/JxrY9mC.gif,"Step:1 Attach the band to a sturdy anchor point above your head. | Step:2 Kneel down and hold the band with one hand, palm facing down. | Step:3 Extend your arm fully overhead, keeping your elbow slightly bent. | Step:4 Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. | Step:5 Pause for a moment at the bottom, then slowly release the tension and return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch sides. Perform with stability intensity.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,7.5,7.0,7.0,6.0,5.0,5.4
drfGhTV,Balance Cable Incline Fly,3,cable,pectorals,"deltoids, triceps",chest,3,https://static.exercisedb.dev/media/drfGhTV.gif,"Step:1 Adjust the cable machine to a low position and attach the handles. | Step:2 Sit on an incline bench with your back against the pad and feet flat on the floor. Perform with balance intensity. | Step:3 Grasp the handles with an overhand grip and extend your arms straight out in front of you. | Step:4 Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion. | Step:5 Pause for a moment at the fully extended position, then slowly return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,5.0,7.0,7.0,7.0,6.0,5.4
8urJS9b,Weighted Hyperextension (On Stability Ball),1,weighted,spine,"glutes, hamstrings",back,3,https://static.exercisedb.dev/media/8urJS9b.gif,"Step:1 Position yourself face down on a stability ball with your hips resting on the ball and your feet against a wall for stability. | Step:2 Place your hands behind your head or cross them over your chest. | Step:3 Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line. | Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,8.0,7.0,5.0,3.0,3.0,5.4
gGNQmVt,Barbell Single Leg Split Squat,3,barbell,quads,"glutes, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/gGNQmVt.gif,"Step:1 Stand with your feet shoulder-width apart, holding a barbell across your upper back. | Step:2 Take a large step forward with one leg, keeping your torso upright. | Step:3 Lower your body by bending your front knee and hip, while keeping your back leg straight. | Step:4 Continue lowering until your front thigh is parallel to the ground. | Step:5 Pause for a moment, then push through your front heel to return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch legs.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,5.0,7.0,7.0,7.0,6.0,5.4
fKZgDEO,Single Leg Calf Raise (On A Dumbbell),1,dumbbell,calves,"ankles, feet",lower legs,3,https://static.exercisedb.dev/media/fKZgDEO.gif,"Step:1 Stand with your feet hip-width apart and hold a dumbbell in one hand. | Step:2 Lift one foot off the ground and balance on the other foot. | Step:3 Slowly raise your heel as high as possible, using your calf muscles. | Step:4 Pause for a moment at the top, then slowly lower your heel back down. | Step:5 Repeat for the desired number of repetitions, then switch to the other leg.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,9.5,7.0,5.0,3.0,3.0,5.4
arsYEd3,Band One Arm Single Leg Split Squat,3,band,quads,"glutes, hamstrings",upper legs,3,https://static.exercisedb.dev/media/arsYEd3.gif,"Step:1 Stand with your feet hip-width apart and place a resistance band around your ankles. | Step:2 Extend one leg forward and rest the top of your foot on a bench or step behind you. | Step:3 Hold onto a support with one hand for balance. | Step:4 Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes. | Step:5 Push through your heel to return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch legs.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,7.5,7.0,7.0,6.0,5.0,5.4
WVD66ff,Exercise Ball Back Extension With Rotation,2,stability ball,spine,"glutes, hamstrings",back,3,https://static.exercisedb.dev/media/WVD66ff.gif,"Step:1 Start by lying face down on the stability ball with your hips resting on the ball and your feet firmly planted on the ground. | Step:2 Place your hands behind your head or cross them over your chest. | Step:3 Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels. | Step:4 Pause for a moment at the top, then slowly rotate your torso to one side, keeping your hips and legs stable. | Step:5 Return to the center and repeat the rotation to the other side. | Step:6 Lower your upper body back down to the starting position and repeat for the desired number of repetitions.",0.0,8.5,7.5,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Functional Training,5.6,4.2,7.3,7.3,5.2,7.0,8.0,6.0,5.0,3.0,5.4
