exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
C5jncD2,Standing Single Leg Curl,1,body weight,hamstrings,glutes,upper legs,2,https://static.exercisedb.dev/media/C5jncD2.gif,"Step:1 Stand with your feet hip-width apart and your hands on your hips. | Step:2 Shift your weight onto your left leg and lift your right foot off the ground, bending your knee. | Step:3 Slowly curl your right heel towards your glutes, squeezing your hamstring. | Step:4 Pause for a moment at the top, then slowly lower your right foot back down to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch legs.",2.0,6.5,8.5,0.0,4.5,6.5,0.0,8.5,0.0,7.5,Hypertrophy Training,4.3,3.6,5.9,5.9,3.9,9.5,7.0,5.0,3.0,3.0,4.6
k5IpyHg,Dumbbell One Arm Concentration Curl (On Stability Ball),2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/k5IpyHg.gif,"Step:1 Sit on a stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. | Step:2 Hold a dumbbell in one hand with your palm facing up and your arm extended down towards the floor. | Step:3 Rest your elbow on the inside of your thigh, just above the knee. | Step:4 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder while contracting your biceps. | Step:5 Pause for a moment at the top of the movement, then inhale and slowly lower the dumbbell back down to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch arms and repeat.",0.0,6.5,8.5,0.0,2.0,4.0,0.0,8.5,0.0,7.5,Hypertrophy Training,3.3,2.2,5.5,5.5,2.8,8.5,8.0,6.0,5.0,3.0,3.8
u27Kcdz,Bench Hip Extension,1,body weight,glutes,hamstrings,upper legs,2,https://static.exercisedb.dev/media/u27Kcdz.gif,"Step:1 Sit on a bench with your back against the bench and your feet flat on the ground. | Step:2 Place your hands on the bench for support. | Step:3 Engage your glutes and hamstrings, then lift your hips off the bench until your body forms a straight line from your knees to your shoulders. | Step:4 Pause for a moment at the top, then slowly lower your hips back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",2.0,6.5,8.5,0.0,2.5,6.5,0.0,2.0,0.0,7.5,Hypertrophy Training,2.9,3.3,5.6,5.6,2.8,9.5,7.0,5.0,3.0,3.0,3.8
UQr48Oi,Pull-In (On Stability Ball),2,stability ball,abs,hip flexors,waist,2,https://static.exercisedb.dev/media/UQr48Oi.gif,"Step:1 Start by sitting on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. | Step:2 Place your hands on the sides of the stability ball for support. | Step:3 Engage your abs and slowly roll your hips forward, bringing your knees towards your chest. | Step:4 Pause for a moment at the top of the movement, then slowly extend your legs back to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,2.0,4.0,0.0,8.5,0.0,7.5,Hypertrophy Training,3.3,2.2,5.5,5.5,2.8,7.0,8.0,6.0,5.0,3.0,3.8
g2oKspu,Curl-Up,1,body weight,abs,hip flexors,waist,2,https://static.exercisedb.dev/media/g2oKspu.gif,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. | Step:2 Place your hands behind your head with your elbows pointing outwards. | Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. | Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",2.0,6.5,8.5,0.0,2.5,6.5,0.0,2.0,0.0,7.5,Hypertrophy Training,2.9,3.3,5.6,5.6,2.8,9.5,7.0,5.0,3.0,3.0,3.8
gscGLOU,Bodyweight Side Lying Biceps Curl,1,body weight,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/gscGLOU.gif,"Step:1 Lie on your side with your legs extended and your head supported by your arm. | Step:2 Hold your upper arm against your side and bend your elbow to curl your forearm towards your shoulder. | Step:3 Pause for a moment at the top, then slowly lower your forearm back down to the starting position. | Step:4 Repeat for the desired number of repetitions.",2.0,6.5,8.5,0.0,2.5,6.5,0.0,2.0,0.0,7.5,Hypertrophy Training,2.9,3.3,5.6,5.6,2.8,9.5,7.0,5.0,3.0,3.0,3.8
fSrPP6B,Triceps Press,2,body weight,triceps,shoulders,upper arms,2,https://static.exercisedb.dev/media/fSrPP6B.gif,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. | Step:2 Extend your arms straight out in front of you, parallel to the ground. | Step:3 Bend your elbows and lower your body towards the ground, keeping your upper arms close to your sides. | Step:4 Pause for a moment at the bottom, then push yourself back up to the starting position. | Step:5 Repeat for the desired number of repetitions.",2.0,6.5,8.5,0.0,2.5,6.5,0.0,2.0,0.0,7.5,Hypertrophy Training,2.9,3.3,5.6,5.6,2.8,8.5,8.0,6.0,5.0,3.0,3.8
sJFIDIp,Biceps Leg Concentration Curl,1,body weight,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/sJFIDIp.gif,"Step:1 Sit on a bench with your legs spread apart and your feet flat on the ground. | Step:2 Hold a dumbbell in one hand and place your elbow on the inside of your thigh, just above the knee. | Step:3 With your palm facing up, curl the dumbbell towards your shoulder while keeping your upper arm stationary. | Step:4 Squeeze your biceps at the top of the movement, then slowly lower the dumbbell back to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.",2.0,6.5,8.5,0.0,2.5,6.5,0.0,2.0,0.0,7.5,Hypertrophy Training,2.9,3.3,5.6,5.6,2.8,9.5,7.0,5.0,3.0,3.0,3.8
1kB3Wmk,Dumbbell Single Leg Calf Raise,1,dumbbell,calves,ankles,lower legs,2,https://static.exercisedb.dev/media/1kB3Wmk.gif,"Step:1 Stand on the edge of a step or platform with your heels hanging off and your toes on the step. | Step:2 Hold a dumbbell in one hand and place your other hand on a wall or railing for support. | Step:3 Raise your heel as high as possible, lifting your body up onto your toes. | Step:4 Pause for a moment at the top, then slowly lower your heel back down below the step. | Step:5 Repeat for the desired number of repetitions, then switch to the other leg.",0.0,6.5,8.5,0.0,2.0,4.0,0.0,8.5,0.0,7.5,Hypertrophy Training,3.3,2.2,5.5,5.5,2.8,9.5,7.0,5.0,3.0,3.0,3.8
b4b6afT,Weighted Seated Bicep Curl (On Stability Ball),2,medicine ball,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/b4b6afT.gif,"Step:1 Sit on a stability ball with your feet flat on the ground and your back straight. | Step:2 Hold a medicine ball with an underhand grip, palms facing up, and let your arms hang down by your sides. | Step:3 Keeping your upper arms stationary, exhale and curl the medicine ball up towards your shoulders. | Step:4 Pause for a moment at the top, squeezing your biceps. | Step:5 Inhale and slowly lower the medicine ball back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,2.0,4.0,0.0,8.5,0.0,7.5,Hypertrophy Training,3.3,2.2,5.5,5.5,2.8,7.0,8.0,6.0,5.0,3.0,3.8
WgJnBH5,Dumbbell Seated Biceps Curl (On Stability Ball),2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/WgJnBH5.gif,"Step:1 Sit on a stability ball with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in each hand with your palms facing forward and your arms fully extended. | Step:3 Keeping your upper arms stationary, exhale and curl the dumbbells while contracting your biceps. | Step:4 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:6 Inhale and slowly begin to lower the dumbbells back to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,2.0,4.0,0.0,8.5,0.0,7.5,Hypertrophy Training,3.3,2.2,5.5,5.5,2.8,8.5,8.0,6.0,5.0,3.0,3.8
P2nRiUa,Dumbbell Standing Zottman Preacher Curl,2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/P2nRiUa.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing forward. | Step:2 Place your upper arms against the preacher bench and keep your elbows slightly bent. | Step:3 Curl the dumbbells up towards your shoulders while keeping your upper arms stationary. | Step:4 At the top of the movement, rotate your wrists so that your palms are facing downward. | Step:5 Slowly lower the dumbbells back to the starting position, rotating your wrists back to the starting position as well. | Step:6 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
0IgNjSM,Dumbbell Standing Reverse Curl,1,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/0IgNjSM.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body. | Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:3 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:4 Inhale and slowly begin to lower the dumbbells back to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
hwygydB,Dumbbell Preacher Curl Over Exercise Ball,1,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/hwygydB.gif,"Step:1 Sit on an exercise ball with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in one hand with an underhand grip, resting your elbow on the exercise ball. | Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. | Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,9.5,7.0,5.0,3.0,3.0,2.9
Db7eEgw,Cable Concentration Extension (On Knee),1,cable,triceps,forearms,upper arms,2,https://static.exercisedb.dev/media/Db7eEgw.gif,"Step:1 Sit on a bench or chair with your knees bent and feet flat on the ground. | Step:2 Hold the cable handle with your right hand and place your elbow on the inside of your right knee. | Step:3 Extend your arm fully, keeping your elbow stationary and close to your knee. | Step:4 Pause for a moment at the top, then slowly lower your arm back to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch sides.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,7.0,7.0,5.0,4.0,4.0,2.9
ByX0WxV,Dumbbell Incline Hammer Curl,2,dumbbell,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/ByX0WxV.gif,"Step:1 Sit on an incline bench with a dumbbell in each hand, palms facing your torso and arms fully extended. | Step:2 Keep your back against the bench and your feet flat on the floor. | Step:3 While keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. | Step:4 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. | Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. | Step:6 Inhale and slowly begin to lower the dumbbells back to the starting position. | Step:7 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
BwSNDGt,Dumbbell One Arm Reverse Wrist Curl,2,dumbbell,forearms,wrist extensors,lower arms,2,https://static.exercisedb.dev/media/BwSNDGt.gif,"Step:1 Sit on a bench or chair with your feet flat on the ground. | Step:2 Hold a dumbbell in one hand with an overhand grip, palm facing down. | Step:3 Rest your forearm on your thigh, with your wrist hanging off the edge. | Step:4 Slowly lower the dumbbell towards the ground by flexing your wrist. | Step:5 Pause for a moment at the bottom, then slowly curl your wrist back up towards your body. | Step:6 Repeat for the desired number of repetitions, then switch to the other arm.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
8oYqOt9,Cable Seated Curl,2,cable,biceps,forearms,upper arms,2,https://static.exercisedb.dev/media/8oYqOt9.gif,"Step:1 Sit on a cable machine with your feet flat on the ground and your back straight. | Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and your arms fully extended. | Step:3 Keeping your upper arms stationary, exhale and curl the cable attachment towards your shoulders, contracting your biceps. | Step:4 Pause for a moment at the top of the movement, squeezing your biceps. | Step:5 Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms. | Step:6 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,6.0,8.0,6.0,6.0,4.0,2.9
yz9nUhF,Dumbbell Fly,2,dumbbell,pectorals,shoulders,chest,2,https://static.exercisedb.dev/media/yz9nUhF.gif,"Step:1 Lie flat on a bench with a dumbbell in each hand, palms facing each other. | Step:2 Extend your arms straight up over your chest, with a slight bend in your elbows. | Step:3 Keeping a slight bend in your elbows, lower your arms out to the sides in a wide arc until you feel a stretch in your chest. | Step:4 Pause for a moment, then reverse the movement and bring the dumbbells back up to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,6.5,8.5,0.0,0.0,4.0,0.0,0.0,0.0,7.5,Hypertrophy Training,1.5,1.9,5.2,5.2,1.5,8.5,8.0,6.0,5.0,3.0,2.9
