exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
6FMU51h,Semi Squat Jump (Male),2,body weight,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/6FMU51h.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Bend your knees and lower your body into a squat position. | Step:3 Jump explosively, extending your hips and knees while swinging your arms for momentum. | Step:4 Land softly on the balls of your feet and immediately go into the next repetition. | Step:5 Repeat for the desired number of repetitions.",7.5,10.0,10.0,9.0,10.0,7.5,0.0,2.0,8.5,9.0,Strength Training,6.7,8.5,9.6,9.6,7.5,7.5,7.0,6.0,6.0,4.0,7.9
wfotm7S,Bodyweight Drop Jump Squat,3,body weight,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/wfotm7S.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. | Step:3 Jump up explosively, extending your hips, knees, and ankles. | Step:4 While in mid-air, quickly bring your feet together. | Step:5 Land softly on the balls of your feet and immediately drop back into a squat position. | Step:6 Repeat for the desired number of repetitions.",7.5,10.0,10.0,9.0,10.0,7.5,0.0,2.0,8.5,9.0,Strength Training,6.7,8.5,9.6,9.6,7.5,6.5,6.0,7.0,7.0,6.0,7.9
LIlE5Tn,Jump Squat,3,body weight,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/LIlE5Tn.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. | Step:3 Jump explosively off the ground, extending your hips, knees, and ankles. | Step:4 While in mid-air, quickly bring your arms forward for balance. | Step:5 Land softly on the balls of your feet and immediately go into the next repetition. | Step:6 Repeat for the desired number of repetitions.",7.5,10.0,10.0,9.0,10.0,7.5,0.0,2.0,8.5,9.0,Strength Training,6.7,8.5,9.6,9.6,7.5,6.5,6.0,7.0,7.0,6.0,7.9
TDYiji6,Jump Squat V. 2,2,body weight,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/TDYiji6.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. | Step:3 Jump explosively, extending your hips and knees fully. | Step:4 Land softly on the balls of your feet and immediately lower your body back into a squat position. | Step:5 Repeat for the desired number of repetitions.",7.5,10.0,10.0,9.0,10.0,7.5,0.0,2.0,8.5,9.0,Strength Training,6.7,8.5,9.6,9.6,7.5,7.5,7.0,6.0,6.0,4.0,7.9
0JtKWum,Dumbbell Burpee,4,dumbbell,cardiovascular system,"quadriceps, hamstrings, calves, shoulders, triceps, core",cardio,7,https://static.exercisedb.dev/media/0JtKWum.gif,"Step:1 Start in a standing position with your feet shoulder-width apart and a dumbbell in each hand. | Step:2 Lower your body into a squat position, placing the dumbbells on the ground in front of you. | Step:3 Kick your feet back into a push-up position, keeping your body in a straight line. | Step:4 Perform a push-up, bending your elbows and lowering your chest towards the ground. | Step:5 Jump your feet back towards your hands, landing in a squat position. | Step:6 Stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders. | Step:7 Press the dumbbells overhead, fully extending your arms. | Step:8 Lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.",7.5,8.5,7.5,6.0,8.0,6.0,0.0,0.0,8.5,9.0,Strength Training,5.6,7.6,7.9,7.9,6.2,4.5,5.0,6.0,7.0,6.0,6.6
iPm26QU,Box Jump Down With One Leg Stabilization,3,body weight,calves,"quadriceps, hamstrings, glutes",lower legs,4,https://static.exercisedb.dev/media/iPm26QU.gif,"Step:1 Stand in front of a box or platform with your feet shoulder-width apart. | Step:2 Bend your knees and jump onto the box, landing softly with one foot on the box and the other foot hanging off the edge. | Step:3 Stabilize yourself on the box with the foot that is on it, while keeping the other foot off the ground. | Step:4 Hold this position for a few seconds, engaging your calf muscles to maintain balance. | Step:5 Slowly step down with the foot that is on the box, returning to the starting position. | Step:6 Repeat the exercise with the other leg.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,6.5,6.0,7.0,7.0,6.0,6.3
f9lVSSI,Astride Jumps (Male),3,body weight,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/f9lVSSI.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Bend your knees and lower your body into a squat position. | Step:3 Jump explosively upwards, extending your legs and arms. | Step:4 While in the air, spread your legs apart and bring your arms out to the sides. | Step:5 Land softly with your feet shoulder-width apart, bending your knees to absorb the impact. | Step:6 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,6.5,6.0,7.0,7.0,6.0,6.3
HtfCpfi,Star Jump (Male),2,body weight,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/HtfCpfi.gif,"Step:1 Stand with your feet shoulder-width apart and your arms by your sides. | Step:2 Bend your knees slightly and jump up explosively. | Step:3 As you jump, spread your legs and extend your arms out to the sides, forming a star shape with your body. | Step:4 Land softly on the balls of your feet with your knees slightly bent. | Step:5 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,7.5,7.0,6.0,6.0,4.0,6.3
CB8WET1,Incline Push Up Depth Jump,3,body weight,pectorals,"triceps, shoulders, core",chest,4,https://static.exercisedb.dev/media/CB8WET1.gif,"Step:1 Find an elevated surface, such as a bench or step, and place your hands shoulder-width apart on the edge. | Step:2 Step your feet back, keeping your body in a straight line from head to heels. | Step:3 Lower your chest towards the edge of the surface, bending your elbows and keeping your body aligned. | Step:4 Push through your palms to extend your arms and return to the starting position. | Step:5 Jump off the edge of the surface, landing softly with your knees slightly bent. | Step:6 Repeat the push-up and depth jump for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,6.5,6.0,7.0,7.0,6.0,6.3
Eh2v5Iu,Scissor Jumps (Male),2,body weight,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/Eh2v5Iu.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Jump off the ground and simultaneously cross your right leg in front of your left leg. | Step:3 As you land, quickly switch legs, crossing your left leg in front of your right leg. | Step:4 Continue alternating legs and jumping as quickly as possible. | Step:5 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,7.5,7.0,6.0,6.0,4.0,6.3
