Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Wheat Bran,complex_carbs,216.0,15.55,64.51,4.25,42.8,0.41,2.0,8,6,9,6,9,4,"breakfast, post_workout, lunch, dinner",80-120g,17.900000000000002,10.0,0.07,Not included in a food category,other,28.8,100.0,17.71,0.63,0.0,23
"Soybeans, Cooked",healthy_fats,218.0,16.92,7.77,14.84,5.6,2.79,217.0,7,7,10,5,8,4,"post_workout, lunch, dinner",30-50g,17.700000000000003,10.0,0.08,"Beans, peas, legumes",complex_carbs,31.05,14.26,61.27,2.08,0.0,24
"Beans With Meat, As To Type",complex_carbs,184.0,10.7,20.56,6.88,7.1,0.38,275.0,8,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,17.501,9.67,0.06,"Beans, peas, legumes",complex_carbs,23.26,44.7,33.65,1.15,11.0,26
Pinto Beans With Meat,complex_carbs,186.0,10.73,21.07,6.9,7.2,0.38,275.0,8,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,17.492,9.64,0.06,"Beans, peas, legumes",complex_carbs,23.08,45.31,33.39,1.15,11.0,26
"Fish, Catfish, Steamed",lean_proteins,150.0,19.24,0.0,7.5,0.0,0.0,222.0,7,7,8,0,9,9,"post_workout, lunch, dinner, snack",100-150g,17.2,10.0,0.13,Fish,lean_proteins,51.31,0.0,45.0,1.66,69.0,22
Wheat Germ,healthy_fats,382.0,29.1,49.6,10.7,15.1,7.8,4.0,5,9,7,9,6,4,"post_workout, lunch, dinner",30-50g,17.1,10.0,0.08,Not included in a food category,other,30.47,51.94,25.21,1.83,0.0,21
"White Beans, From Canned, Reduced Sodium",complex_carbs,211.0,10.43,29.76,6.06,6.9,2.0,251.0,8,8,10,6,6,2,"breakfast, lunch, dinner",80-120g,17.063,8.21,0.05,"Beans, peas, legumes",complex_carbs,19.77,56.42,25.85,0.91,0.0,26
Black Beans With Meat,complex_carbs,177.0,10.61,19.06,6.81,7.0,0.36,275.0,8,8,10,4,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.985,9.95,0.06,"Beans, peas, legumes",complex_carbs,23.98,43.07,34.63,1.16,11.0,26
"Cheeseburger, From School Cafeteria",dairy_proteins,250.0,18.73,23.42,8.64,2.7,2.68,313.0,5,9,10,6,8,2,"breakfast, post_workout, lunch, dinner",150-200ml,16.971,8.57,0.07,Burgers,other,29.97,37.47,31.1,3.42,42.0,24
"Seaweed, Dried",complete_proteins,298.0,31.84,52.39,4.01,5.6,3.04,575.0,5,6,8,5,9,7,"breakfast, post_workout, lunch, dinner",100-150g,16.900000000000002,10.0,0.11,Not included in a food category,other,42.74,70.32,12.11,1.36,0.0,19
Kidney Beans With Meat,complex_carbs,173.0,10.46,18.33,6.78,5.9,0.36,275.0,8,8,10,4,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.838,9.46,0.06,"Beans, peas, legumes",complex_carbs,24.18,42.38,35.27,1.1,11.0,26
"Chicken, Meatless,",complete_proteins,224.0,23.64,3.64,12.73,3.6,0.0,709.0,6,6,9,4,9,5,"post_workout, lunch, dinner",100-150g,16.8,10.0,0.11,Soy and meat-alternative products,other,42.21,6.5,51.15,1.53,0.0,21
"Black Beans, From Canned, Reduced Sodium",complex_carbs,178.0,8.54,23.43,5.92,9.8,0.33,195.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.8,10.0,0.05,"Beans, peas, legumes",complex_carbs,19.19,52.65,29.93,0.84,0.0,24
"Turkey, Light Or Dark Meat, Fried, Coated, Skin Eaten",complete_proteins,192.0,26.2,1.42,8.51,0.0,0.11,270.0,6,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.8,10.0,0.14,"Turkey, duck, other poultry",lean_proteins,54.58,2.96,39.89,2.42,100.0,21
Chia Seeds,healthy_fats,486.0,16.54,42.12,30.74,34.4,1.55,16.0,5,9,6,9,6,4,"post_workout, lunch, dinner",30-50g,16.7,10.0,0.03,Nuts and seeds,healthy_fats,13.61,34.67,56.93,3.33,0.0,20
"Hot Dog Sandwich, Vegetarian, On Bread",complex_carbs,243.0,16.56,20.15,10.69,3.4,1.6,448.0,6,7,9,7,9,2,"breakfast, post_workout, lunch, dinner",80-120g,16.663,8.21,0.07,Frankfurter sandwiches,other,27.26,33.17,39.59,1.4,0.0,22
"White Beans, From Canned, Fat Added",complex_carbs,211.0,10.43,29.76,6.06,6.9,2.0,333.0,7,8,10,6,6,2,"breakfast, lunch, dinner",80-120g,16.663,8.21,0.05,"Beans, peas, legumes",complex_carbs,19.77,56.42,25.85,0.91,0.0,25
"Peruvian Beans, From Dried",complex_carbs,192.0,8.51,23.49,7.51,9.7,0.32,220.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.644000000000002,9.48,0.04,"Beans, peas, legumes",complex_carbs,17.73,48.94,35.2,1.13,0.0,24
"Nutritional Powder Mix, Light (Muscle Milk)",complete_proteins,396.0,50.0,22.0,12.0,2.0,4.0,250.0,3,9,7,8,7,5,"post_workout, lunch, dinner",100-150g,16.6,10.0,0.13,Protein and nutritional powders,other,50.51,22.22,27.27,1.09,10.0,19
Nutritional Powder Mix (Muscle Milk),complete_proteins,411.0,45.71,18.5,17.14,7.1,5.71,329.0,4,9,6,6,7,7,"post_workout, lunch, dinner",100-150g,16.6,10.0,0.11,Protein and nutritional powders,other,44.49,18.0,37.53,1.55,21.0,19
Sun-Dried Tomatoes,complex_carbs,258.0,14.11,55.76,2.97,12.3,37.59,107.0,6,7,9,6,6,4,"breakfast, lunch, dinner",80-120g,16.6,10.0,0.05,Tomatoes,vegetables,21.88,86.45,10.36,0.43,0.0,22
"Kidney Beans, From Canned, Reduced Sodium",complex_carbs,186.0,8.37,23.79,6.82,8.5,2.97,188.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.521,9.07,0.04,"Beans, peas, legumes",complex_carbs,18.0,51.16,33.0,1.03,0.0,24
"Black Beans,",complex_carbs,181.0,8.23,22.04,7.01,8.1,0.3,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.506,9.02,0.05,"Beans, peas, legumes",complex_carbs,18.19,48.71,34.86,1.0,0.0,24
"Black Beans, From Dried, Fat Added",complex_carbs,181.0,8.23,22.04,7.01,8.1,0.3,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.506,9.02,0.05,"Beans, peas, legumes",complex_carbs,18.19,48.71,34.86,1.0,0.0,24
"Fish Sandwich, Fried, On Wheat Bun",lean_proteins,229.0,15.16,23.77,8.19,2.4,2.26,381.0,5,8,9,3,9,6,"breakfast, post_workout, lunch, dinner",100-150g,16.501,7.67,0.07,Seafood sandwiches,lean_proteins,26.48,41.52,32.19,2.38,34.0,22
"Calamari, Cooked",complete_proteins,155.0,19.36,3.83,6.25,0.0,0.01,270.0,6,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.5,10.0,0.12,Shellfish,lean_proteins,49.96,9.88,36.29,1.63,293.0,21
"Turkey, Light Meat, Breaded, Baked Or Fried, Skin Eaten",complete_proteins,200.0,26.78,6.48,6.84,0.4,0.56,198.0,6,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.5,10.0,0.13,"Turkey, duck, other poultry",lean_proteins,53.56,12.96,30.78,1.88,76.0,21
"Beans, From Dried, As To Type, Fat Added",complex_carbs,189.0,8.34,23.78,7.08,8.3,0.31,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.44,8.8,0.04,"Beans, peas, legumes",complex_carbs,17.65,50.33,33.71,1.0,0.0,24
"Beans,",complex_carbs,189.0,8.34,23.78,7.08,8.3,0.31,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.44,8.8,0.04,"Beans, peas, legumes",complex_carbs,17.65,50.33,33.71,1.0,0.0,24
"Pinto Beans,",complex_carbs,191.0,8.37,24.37,7.11,8.4,0.32,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.434,8.78,0.04,"Beans, peas, legumes",complex_carbs,17.53,51.04,33.5,1.0,0.0,24
"Pinto Beans, From Dried, Fat Added",complex_carbs,191.0,8.37,24.37,7.11,8.4,0.32,217.0,6,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.434,8.78,0.04,"Beans, peas, legumes",complex_carbs,17.53,51.04,33.5,1.0,0.0,24
"Black Beans, From Canned, Fat Added",complex_carbs,178.0,8.54,23.43,5.92,9.8,0.33,335.0,5,8,10,6,6,2,"breakfast, pre_workout, lunch, dinner, snack",80-120g,16.400000000000002,10.0,0.05,"Beans, peas, legumes",complex_carbs,19.19,52.65,29.93,0.84,0.0,23
"Chicken Thigh, Baked, Broiled, Or Roasted, Skin Not Eaten, From Raw",complete_proteins,178.0,24.61,0.0,8.1,0.0,0.0,336.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.3,0.0,40.96,2.3,132.0,20
Beef With Cream Or White Sauce,complete_proteins,185.0,22.5,2.75,9.31,0.0,1.38,340.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,Meat mixed dishes,other,48.65,5.95,45.29,3.77,70.0,20
"Chicken Thigh, Fried, Coated, Skin / Coating Not Eaten, From Raw",complete_proteins,192.0,24.12,0.0,9.93,0.0,0.0,334.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,50.25,0.0,46.55,2.52,130.0,20
"Pork,",complete_proteins,192.0,27.14,0.0,8.67,0.0,0.0,348.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.14,Pork,other,56.54,0.0,40.64,3.03,77.0,20
"Chicken Leg, Drumstick And Thigh, Fried, Coated, Skin / Coating Not Eaten",complete_proteins,183.0,23.92,0.0,8.98,0.0,0.0,343.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,52.28,0.0,44.16,2.2,128.0,20
"Duck, Cooked, Skin Not Eaten",complete_proteins,200.0,23.38,0.0,11.15,0.0,0.0,227.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,"Turkey, duck, other poultry",lean_proteins,46.76,0.0,50.18,3.93,89.0,20
"Clams, Baked Or Broiled",complete_proteins,148.0,18.23,4.44,5.73,0.0,0.01,285.0,7,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,Shellfish,lean_proteins,49.27,12.0,34.84,1.42,41.0,20
"Duck, Roasted, Skin Not Eaten",complete_proteins,200.0,23.38,0.0,11.15,0.0,0.0,227.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,"Turkey, duck, other poultry",lean_proteins,46.76,0.0,50.18,3.93,89.0,20
"Burrito Bowl, Chicken",complete_proteins,161.0,21.04,0.27,8.11,0.0,0.09,301.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,Other Mexican mixed dishes,other,52.27,0.67,45.34,3.29,93.0,20
"Clams,",complete_proteins,143.0,16.14,6.74,5.2,0.1,0.05,199.0,7,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.11,Shellfish,lean_proteins,45.15,18.85,32.73,0.91,34.0,20
