_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |75.2            |75.2            |81.8    (8.1  %) 
stature_cm           |166.2           |166.2           |166.3   (0.0  %) 
neck_base_girth      |0.0             |43.3            |43.6    (0.8  %) 
chest_girth          |112.9           |112.9           |112.1   (0.7  %) 
waist_girth          |96.5            |96.5            |96.2    (0.2  %) 
hips_buttock_girth   |101.5           |101.5           |100.8   (0.7  %) 
shoulder_girth       |124.5           |124.5           |123.7   (0.7  %) 
thigh_girth          |62.8            |62.8            |61.7    (1.7  %) 
thigh_low_girth      |0.0             |38.4            |38.4    (0.1  %) 
calf_girth           |0.0             |36.8            |36.5    (0.7  %) 
ankle_girth          |0.0             |21.2            |21.0    (0.7  %) 
forearm_girth        |0.0             |30.5            |30.1    (1.3  %) 
wrist_girth          |0.0             |16.8            |16.7    (1.0  %) 
shoulder_length      |0.0             |15.6            |15.5    (0.4  %) 
sleeveoutseam_length |56.1            |56.1            |55.7    (0.7  %) 
forearm_length       |0.0             |25.3            |25.2    (0.5  %) 
crotchheight_length  |79.7            |79.7            |79.6    (0.1  %) 
waistback_length     |46.7            |46.7            |46.2    (1.2  %) 
thigh_length         |0.0             |38.5            |38.6    (0.1  %) 
chest_depth_length   |0.0             |26.7            |26.8    (0.4  %) 
head_girth           |0.0             |56.7            |56.6    (0.1  %) 
_______________________________________________________________________________
